,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_proba_csa_con_ROIv_scale60,no_norm,bag_of_edges,standard,LR,0.80612244898,0.126423588708,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.787,0.116537547597,"[ 0.75  0.7   0.8   0.8   0.7   0.6   0.95  0.8   0.95  0.8   0.7   0.7
  0.85  0.55  0.8   0.75  0.95  0.7   0.95  0.9   0.85  0.55  0.85  0.8
  0.7   0.85  0.85  0.95  0.55  0.85  0.6   0.7   0.8   0.9   0.7   0.75
  0.8   0.75  0.85  0.8   0.95  0.65  0.8   0.75  0.8   0.9   0.9   0.55
  0.9   1.  ]",0.89574829932,0.0786786326542,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.866848214286,0.123973585246,"[ 0.92708333  0.72        0.85        0.94791667  0.64583333  0.875       1.
  0.84        1.          0.82291667  0.83333333  0.79        0.921875
  0.53571429  0.9375      0.91666667  1.          0.625       1.          0.9375
  1.          0.48809524  0.93        0.90625     0.84375     0.94
  0.97619048  1.          0.8         0.70238095  0.8125      0.72619048
  0.8452381   0.9375      0.80952381  0.86458333  0.97619048  1.          0.9375
  0.8125      0.98809524  0.75        0.89583333  0.92708333  0.88541667
  1.          0.80208333  0.68        0.97916667  1.        ]"
1,BNU_1_proba_csa_con_ROIv_scale60,no_norm,bag_of_edges,standard,SGD,0.836734693878,0.0799645323757,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.729,0.135310753453,"[ 0.7   0.6   0.65  0.7   0.55  0.7   0.9   0.8   0.9   0.7   0.7   0.7
  0.8   0.5   0.75  0.7   1.    0.55  0.9   0.8   0.9   0.35  0.85  0.85
  0.65  0.65  0.75  0.9   0.55  0.7   0.55  0.7   0.7   0.75  0.45  0.7
  0.8   0.7   0.85  0.8   0.6   0.55  0.85  0.8   0.75  0.95  0.9   0.7
  0.9   0.7 ]",0.909778911565,0.0819455057695,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.807512301587,0.148416217618,"[ 0.94791667  0.72        0.68        0.83333333  0.57291667  0.921875    1.
  0.96        0.97619048  0.75        0.67857143  0.81        0.921875
  0.57142857  0.92708333  0.80555556  1.          0.515625    0.94791667
  0.84375     0.99        0.45238095  0.97        0.8125      0.79166667
  0.81        0.91666667  0.99        0.71        0.64285714  0.63541667
  0.61904762  0.78571429  0.96875     0.5         0.89583333  0.91666667
  0.96875     0.75        0.85416667  0.58333333  0.640625    0.92708333
  0.91666667  0.82291667  1.          0.75        0.75        0.82291667
  0.79761905]"
2,BNU_1_proba_csa_con_ROIv_scale60,no_norm,degrees,standard,LR,0.816326530612,0.092795449342,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.791,0.0998448796884,"[ 0.85  0.6   0.75  0.7   0.7   0.9   0.8   0.8   0.9   0.65  0.8   0.7
  0.85  0.6   0.7   0.6   0.9   0.7   0.9   0.9   0.9   0.6   0.8   0.9
  0.85  0.8   0.75  0.8   0.65  0.8   0.8   0.8   0.8   0.8   0.75  0.75
  0.9   0.75  0.75  0.85  1.    0.65  0.9   0.8   0.9   0.85  0.85  0.65
  0.95  0.9 ]",0.899234693878,0.107810168833,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.902865079365,0.0915564214356,"[ 0.9375      0.68        0.92        0.91666667  0.90625     0.75
  0.95833333  0.79        0.95238095  0.80208333  0.92857143  0.82
  0.984375    0.82142857  0.9375      0.86111111  1.          0.78125
  0.92708333  0.96875     1.          0.67857143  1.          0.90625
  0.92708333  1.          0.97619048  0.9         0.82        0.89285714
  0.875       0.89285714  0.91666667  0.85416667  0.89285714  0.92708333
  0.98809524  1.          0.875       0.875       1.          0.796875
  0.98958333  0.94791667  1.          1.          0.95833333  0.62
  0.98958333  1.        ]"
3,BNU_1_proba_csa_con_ROIv_scale60,no_norm,degrees,standard,SGD,0.836734693878,0.138381460026,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.75,0.124899959968,"[ 0.85  0.4   0.65  0.7   0.7   0.55  0.75  0.8   0.8   0.6   0.7   0.65
  0.75  0.75  0.8   0.6   0.9   0.65  0.75  0.9   1.    0.6   0.8   0.9
  0.65  0.8   0.7   0.85  0.65  0.7   0.75  0.8   0.55  0.8   0.85  0.7
  0.85  0.7   0.8   0.8   1.    0.5   0.9   0.7   0.8   0.9   0.8   0.6
  0.95  0.85]",0.913945578231,0.108760118969,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.842723015873,0.128928137705,"[ 0.95833333  0.36        0.65        0.91666667  0.88541667  0.65625
  0.91666667  0.76        0.91666667  0.78125     0.80952381  0.81
  0.890625    0.75        0.91666667  0.80555556  1.          0.78125
  0.88541667  0.91666667  1.          0.47619048  0.88        0.875
  0.88541667  0.84        0.91666667  0.86        0.73        0.76190476
  0.85416667  0.8452381   0.73809524  0.83333333  0.92857143  0.78125
  0.95238095  1.          0.90625     0.77083333  1.          0.671875
  0.97916667  0.92708333  0.89583333  0.98        0.86458333  0.66
  0.97916667  0.97619048]"
4,BNU_1_proba_csa_con_ROIv_scale60,no_norm,closeness_centrality,standard,LR,0.785714285714,0.0706304617819,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.726,0.119682914403,"[ 0.8   0.45  0.6   0.75  0.75  0.65  0.85  0.65  0.85  0.45  0.75  0.7
  0.6   0.7   0.7   0.75  0.85  0.7   0.75  0.85  0.9   0.6   0.85  0.9
  0.65  0.7   0.7   0.75  0.6   0.7   0.6   0.65  0.65  0.75  0.85  0.6
  0.85  0.8   0.85  0.65  0.8   0.55  1.    0.7   0.7   0.75  0.75  0.5
  0.85  0.95]",0.902721088435,0.041696851485,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.869565873016,0.0979710495029,"[ 0.77083333  0.57        0.8         0.91666667  0.8125      0.875       1.
  0.83        0.92857143  0.72916667  0.91666667  0.86        0.75
  0.80952381  0.89583333  0.72222222  1.          0.90625     0.91666667
  1.          0.99        0.72619048  0.99        0.91666667  0.94791667
  0.86        0.85714286  0.83        0.66        0.83333333  0.89583333
  0.83333333  0.77380952  0.91666667  0.97619048  0.80208333  0.85714286
  0.96875     0.875       0.79166667  0.91666667  0.78125     1.          1.
  1.          0.97        0.88541667  0.78        0.83333333  1.        ]"
5,BNU_1_proba_csa_con_ROIv_scale60,no_norm,closeness_centrality,standard,SGD,0.795918367347,0.103044946066,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.684,0.121012396059,"[ 0.6   0.55  0.75  0.95  0.6   0.6   0.85  0.6   0.65  0.6   0.8   0.5
  0.75  0.55  0.75  0.7   0.8   0.75  0.65  0.8   0.8   0.5   0.9   0.6
  0.6   0.75  0.65  0.7   0.55  0.65  0.65  0.55  0.45  0.95  0.75  0.6
  0.8   0.7   0.8   0.75  0.65  0.55  0.9   0.65  0.6   0.85  0.6   0.5
  0.65  0.75]",0.907568027211,0.0372528083887,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.845742460317,0.111782213454,"[ 0.78125     0.55        0.91        0.89583333  0.82291667  0.796875
  0.96875     0.83        0.98809524  0.61458333  0.88095238  0.86        0.78125
  0.85714286  0.88541667  0.69444444  0.984375    0.859375    0.9375
  0.98958333  0.99        0.61904762  0.93        0.89583333  0.91666667
  0.81        0.86904762  0.8         0.63        0.80952381  0.875
  0.83333333  0.71428571  0.86458333  0.96428571  0.78125     0.78571429
  0.953125    0.84375     0.79166667  0.92857143  0.625       1.
  0.97916667  0.9375      0.99        0.89583333  0.69        0.77083333
  0.9047619 ]"
6,BNU_1_proba_csa_con_ROIv_scale60,no_norm,betweenness_centrality,standard,LR,0.469387755102,0.0908105937195,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.424,0.147729482501,"[ 0.6  0.5  0.5  0.4  0.4  0.8  0.6  0.5  0.3  0.4  0.3  0.5  0.2  0.3  0.4
  0.1  0.2  0.2  0.6  0.4  0.5  0.3  0.5  0.6  0.6  0.5  0.3  0.5  0.5  0.3
  0.4  0.7  0.3  0.4  0.3  0.4  0.7  0.2  0.4  0.4  0.3  0.2  0.4  0.4  0.6
  0.5  0.4  0.5  0.6  0.3]",0.530102040816,0.083182539188,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.527562301587,0.140243023383,"[ 0.57291667  0.61        0.3         0.27083333  0.39583333  0.65625
  0.375       0.57        0.77380952  0.36458333  0.60714286  0.57
  0.453125    0.39285714  0.51041667  0.55555556  0.546875    0.296875
  0.76041667  0.36458333  0.47        0.30952381  0.34        0.53125
  0.57291667  0.41        0.42857143  0.46        0.43        0.48809524
  0.51041667  0.55952381  0.45238095  0.53125     0.75        0.54166667
  0.69047619  0.875       0.5         0.6875      0.48809524  0.390625
  0.63541667  0.51041667  0.65625     0.75        0.73958333  0.42
  0.63541667  0.66666667]"
7,BNU_1_proba_csa_con_ROIv_scale60,no_norm,betweenness_centrality,standard,SGD,0.602040816327,0.11599088307,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.39,0.160934769394,"[ 0.7   0.6   0.3   0.45  0.5   0.2   0.35  0.55  0.25  0.5   0.3   0.7
  0.2   0.2   0.4   0.1   0.2   0.15  0.45  0.2   0.45  0.35  0.3   0.3
  0.4   0.45  0.25  0.4   0.25  0.3   0.65  0.3   0.2   0.35  0.35  0.35
  0.3   0.2   0.75  0.5   0.35  0.3   0.7   0.55  0.4   0.65  0.6   0.5
  0.45  0.3 ]",0.6,0.181309367476,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.51894265873,0.151434279171,"[ 0.61458333  0.52        0.26        0.38541667  0.26041667  0.75
  0.54166667  0.63        0.55952381  0.25        0.63095238  0.57        0.53125
  0.51190476  0.58333333  0.88888889  0.5         0.421875    0.38541667
  0.46875     0.47        0.23809524  0.39        0.35416667  0.30208333
  0.52        0.73809524  0.51        0.47        0.42857143  0.38541667
  0.55952381  0.47619048  0.65625     0.51190476  0.55208333  0.58333333
  1.          0.61458333  0.45833333  0.64285714  0.28125     0.53125     0.5
  0.64583333  0.61        0.55208333  0.42        0.61458333  0.66666667]"
8,BNU_1_proba_csa_con_ROIv_scale60,no_norm,eigenvector_centrality,standard,LR,0.5,0.185500487436,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.487,0.133719856416,"[ 0.4   0.2   0.45  0.35  0.55  0.35  0.7   0.4   0.6   0.65  0.5   0.35
  0.6   0.35  0.6   0.4   0.55  0.35  0.65  0.7   0.5   0.45  0.5   0.65
  0.4   0.55  0.7   0.4   0.6   0.55  0.45  0.3   0.5   0.45  0.3   0.55
  0.4   0.5   0.55  0.7   0.8   0.4   0.45  0.55  0.55  0.2   0.6   0.3
  0.4   0.4 ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
9,BNU_1_proba_csa_con_ROIv_scale60,no_norm,eigenvector_centrality,standard,SGD,0.571428571429,0.215209648352,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.466,0.179844377171,"[ 0.4   0.3   0.5   0.8   0.65  0.2   0.6   0.35  0.35  0.75  0.4   0.55
  0.3   0.2   0.8   0.4   0.55  0.2   0.7   0.7   0.6   0.25  0.5   0.55
  0.4   0.4   0.5   0.65  0.4   0.65  0.65  0.1   0.5   0.55  0.35  0.35
  0.35  0.2   0.6   0.35  0.4   0.25  0.65  0.55  0.25  0.55  0.7   0.75
  0.2   0.4 ]",0.552806122449,0.221797787665,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.510943650794,0.159411006752,"[ 0.54166667  0.34        0.64        0.57291667  0.52083333  0.359375
  0.59375     0.47        0.66666667  0.63541667  0.4047619   0.58        0.53125
  0.13095238  0.76041667  0.77777778  0.328125    0.421875    0.72916667
  0.69791667  0.68        0.20238095  0.52        0.53125     0.54166667
  0.35        0.46428571  0.56        0.5         0.79761905  0.64583333
  0.33333333  0.44047619  0.58333333  0.60714286  0.47916667  0.16666667
  0.390625    0.5625      0.39583333  0.27380952  0.4375      0.6875
  0.72916667  0.27083333  0.51        0.58333333  0.67        0.32291667
  0.60714286]"
