,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_csa_con_aparc150+subcort,binar,bag_of_edges,standard,LR,0.51,0.140079342596,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.586666666667,0.127410099024,"[ 0.5         0.73333333  0.51666667  0.7         0.6         0.53333333
  0.46666667  0.53333333  0.68333333  0.9         0.71666667  0.48333333
  0.63333333  0.6         0.5         0.56666667  0.3         0.63333333
  0.73333333  0.41666667  0.78333333  0.63333333  0.45        0.73333333
  0.46666667  0.38333333  0.73333333  0.65        0.61666667  0.63333333
  0.75        0.36666667  0.65        0.68333333  0.35        0.68333333
  0.6         0.76666667  0.61666667  0.71666667  0.63333333  0.63333333
  0.55        0.55        0.51666667  0.63333333  0.46666667  0.48333333
  0.38333333  0.46666667]",0.552027777778,0.251921253373,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.597887222222,0.222270699185,"[ 0.74        0.968       0.49555556  0.64875     0.66        0.4175
  0.47375     0.47        0.7225      0.98375     0.85        0.505
  0.53875     0.5975      0.098       0.486       0.16625     0.566
  0.80333333  0.3925      0.81625     0.62777778  0.50333333  0.936
  0.43222222  0.11111111  0.85888889  0.75125     0.69111111  0.552
  0.86333333  0.30375     0.64888889  0.71625     0.06875     0.852       0.6825
  0.86333333  0.58625     0.67555556  0.68125     0.73444444  0.495
  0.49888889  0.944       0.74333333  0.42375     0.41666667  0.39222222
  0.44111111]"
1,HNU_1_deter_csa_con_aparc150+subcort,binar,bag_of_edges,standard,SGD,0.546666666667,0.181781309392,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.556,0.135882302012,"[ 0.43333333  0.58333333  0.46666667  0.73333333  0.58333333  0.26666667
  0.46666667  0.55        0.6         0.86666667  0.61666667  0.61666667
  0.51666667  0.63333333  0.48333333  0.53333333  0.25        0.53333333
  0.61666667  0.43333333  0.76666667  0.63333333  0.55        0.6
  0.33333333  0.35        0.66666667  0.6         0.68333333  0.6
  0.73333333  0.31666667  0.65        0.6         0.3         0.56666667
  0.4         0.71666667  0.71666667  0.71666667  0.71666667  0.66666667
  0.55        0.55        0.41666667  0.65        0.48333333  0.43333333
  0.6         0.45      ]",0.574194444444,0.26244215118,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.602451666667,0.221280064555,"[ 0.8275      0.92        0.51222222  0.555       0.69222222  0.5275      0.48
  0.5025      0.68375     0.98375     0.848       0.6025      0.5325
  0.5825      0.146       0.654       0.165       0.486       0.86555556
  0.33375     0.74375     0.61555556  0.52        0.98        0.52666667
  0.08888889  0.81777778  0.80125     0.69888889  0.522       0.88888889
  0.44875     0.61666667  0.6975      0.10375     0.854       0.65
  0.85333333  0.67625     0.68        0.67375     0.62666667  0.49375
  0.48444444  0.938       0.72444444  0.37625     0.40888889  0.18333333
  0.52888889]"
2,HNU_1_deter_csa_con_aparc150+subcort,binar,degrees,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.594611111111,0.284878444946,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.565384444444,0.215190127057,"[ 0.63625     0.86        0.55777778  0.69625     0.60666667  0.33875     0.51
  0.42125     0.735       0.965       0.904       0.63        0.53375
  0.56375     0.122       0.368       0.19125     0.474       0.71111111
  0.4675      0.7875      0.62111111  0.36        0.996       0.47888889
  0.08888889  0.77555556  0.73125     0.52333333  0.41        0.7         0.42875
  0.77111111  0.675       0.05125     0.84        0.5725      0.82        0.5025
  0.66333333  0.55375     0.61333333  0.34875     0.32        0.758       0.8
  0.335       0.42111111  0.46888889  0.56111111]"
3,HNU_1_deter_csa_con_aparc150+subcort,binar,degrees,standard,SGD,0.556666666667,0.153695225112,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.492,0.156639713994,"[ 0.55        0.36666667  0.71666667  0.31666667  0.61666667  0.33333333
  0.51666667  0.28333333  0.78333333  0.66666667  0.43333333  0.58333333
  0.31666667  0.3         0.41666667  0.18333333  0.31666667  0.43333333
  0.41666667  0.61666667  0.63333333  0.51666667  0.5         0.33333333
  0.71666667  0.43333333  0.63333333  0.63333333  0.28333333  0.36666667
  0.75        0.6         0.66666667  0.53333333  0.18333333  0.33333333
  0.58333333  0.7         0.48333333  0.6         0.55        0.65
  0.51666667  0.63333333  0.21666667  0.66666667  0.33333333  0.38333333
  0.45        0.55      ]",0.618111111111,0.274942945821,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.587783333333,0.20376880039,"[ 0.63125     0.846       0.59333333  0.7075      0.64777778  0.5125
  0.52375     0.42875     0.78        0.965       0.912       0.6675      0.545
  0.60875     0.166       0.474       0.2275      0.486       0.66333333
  0.51        0.81        0.61222222  0.40444444  0.996       0.52888889
  0.09888889  0.85        0.7425      0.57111111  0.418       0.75666667
  0.48        0.81444444  0.63875     0.07125     0.808       0.635
  0.84444444  0.54875     0.64333333  0.57625     0.56444444  0.35375     0.38
  0.654       0.79555556  0.34875     0.50777778  0.48        0.56      ]"
4,HNU_1_deter_csa_con_aparc150+subcort,binar,closeness_centrality,standard,LR,0.53,0.158605030045,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.576333333333,0.129961105293,"[ 0.51666667  0.75        0.53333333  0.4         0.66666667  0.8         0.4
  0.41666667  0.61666667  0.73333333  0.68333333  0.58333333  0.51666667
  0.5         0.45        0.61666667  0.3         0.65        0.76666667
  0.63333333  0.7         0.53333333  0.53333333  0.56666667  0.51666667
  0.41666667  0.68333333  0.61666667  0.71666667  0.68333333  0.68333333
  0.46666667  0.63333333  0.63333333  0.35        0.73333333  0.66666667
  0.61666667  0.56666667  0.61666667  0.61666667  0.5         0.8
  0.51666667  0.66666667  0.58333333  0.48333333  0.53333333  0.15        0.5       ]",0.578097222222,0.187119818269,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.603097777778,0.183907730655,"[ 0.84375     0.932       0.59333333  0.3325      0.65444444  0.7775
  0.3275      0.255       0.68125     0.76875     0.588       0.60375     0.45
  0.615       0.19        0.582       0.29875     0.666       0.80333333
  0.72375     0.671875    0.62888889  0.60333333  0.78        0.61888889
  0.30222222  0.74555556  0.60125     0.70222222  0.752       0.88666667
  0.55625     0.66333333  0.6425      0.4         0.636       0.80875
  0.59777778  0.69625     0.62111111  0.57125     0.5         0.861875
  0.55111111  0.86        0.66444444  0.4675      0.52055556  0.06222222
  0.49444444]"
5,HNU_1_deter_csa_con_aparc150+subcort,binar,closeness_centrality,standard,SGD,0.523333333333,0.12138094304,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.477333333333,0.164781336592,"[ 0.48333333  0.16666667  0.56666667  0.33333333  0.7         0.33333333
  0.4         0.21666667  0.58333333  0.71666667  0.16666667  0.55        0.5
  0.51666667  0.21666667  0.33333333  0.2         0.45        0.68333333
  0.6         0.51666667  0.61666667  0.4         0.31666667  0.5
  0.36666667  0.58333333  0.58333333  0.53333333  0.53333333  0.78333333
  0.3         0.68333333  0.66666667  0.26666667  0.23333333  0.56666667
  0.56666667  0.63333333  0.66666667  0.63333333  0.56666667  0.66666667
  0.5         0.31666667  0.61666667  0.41666667  0.46666667  0.16666667
  0.48333333]",0.5895,0.201124339651,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.512013611111,0.0976511293295,"[ 0.74        0.5         0.68833333  0.3725      0.69222222  0.5         0.30625
  0.5         0.5         0.5         0.5         0.60125     0.48        0.5
  0.537       0.5         0.2975      0.5         0.5         0.5         0.645
  0.5         0.5         0.5         0.57444444  0.32222222  0.5         0.655625
  0.5         0.5         0.5         0.5725      0.66333333  0.5         0.2525
  0.5         0.50875     0.59722222  0.5         0.5         0.52125     0.5
  0.5         0.68722222  0.5         0.5         0.5         0.34277778
  0.5         0.54277778]"
6,HNU_1_deter_csa_con_aparc150+subcort,binar,betweenness_centrality,standard,LR,0.536666666667,0.0819213715163,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.556,0.134402380931,"[ 0.56666667  0.63333333  0.58333333  0.43333333  0.51666667  0.63333333
  0.51666667  0.51666667  0.56666667  0.71666667  0.78333333  0.66666667
  0.73333333  0.65        0.43333333  0.66666667  0.53333333  0.4         0.75
  0.41666667  0.48333333  0.56666667  0.66666667  0.76666667  0.43333333
  0.46666667  0.56666667  0.21666667  0.61666667  0.55        0.51666667
  0.65        0.4         0.71666667  0.35        0.16666667  0.68333333
  0.76666667  0.56666667  0.61666667  0.63333333  0.53333333  0.38333333
  0.55        0.71666667  0.51666667  0.58333333  0.36666667  0.46666667
  0.56666667]",0.562333333333,0.21043875755,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.51275,0.150357436579,"[ 0.70375     0.78        0.46333333  0.62375     0.35666667  0.5975
  0.54625     0.445       0.4675      0.5625      0.434       0.655
  0.63875     0.63        0.36        0.524       0.41875     0.17
  0.82222222  0.225       0.47375     0.50222222  0.63777778  0.478       0.6
  0.34777778  0.39666667  0.4675      0.68111111  0.566       0.39222222
  0.67625     0.42333333  0.7875      0.28375     0.31        0.44875
  0.67444444  0.505       0.61888889  0.44125     0.51333333  0.25625
  0.52444444  0.798       0.50333333  0.54375     0.26777778  0.49333333
  0.60111111]"
7,HNU_1_deter_csa_con_aparc150+subcort,binar,betweenness_centrality,standard,SGD,0.55,0.0918936583473,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.484333333333,0.118762601671,"[ 0.53333333  0.56666667  0.56666667  0.45        0.56666667  0.48333333
  0.41666667  0.35        0.41666667  0.56666667  0.4         0.31666667
  0.35        0.5         0.36666667  0.48333333  0.5         0.3
  0.61666667  0.46666667  0.71666667  0.53333333  0.61666667  0.23333333
  0.66666667  0.4         0.33333333  0.46666667  0.46666667  0.58333333
  0.68333333  0.48333333  0.55        0.55        0.35        0.21666667
  0.33333333  0.51666667  0.6         0.53333333  0.53333333  0.51666667
  0.56666667  0.6         0.65        0.6         0.35        0.26666667
  0.58333333  0.5       ]",0.605666666667,0.192137172096,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.540044444444,0.145536957463,"[ 0.7225      0.824       0.55666667  0.61375     0.41444444  0.66625
  0.5475      0.43625     0.555       0.57        0.59        0.7225
  0.6825      0.65125     0.362       0.526       0.46125     0.278
  0.82111111  0.23625     0.46        0.51555556  0.64888889  0.48
  0.58555556  0.39        0.39777778  0.465       0.68444444  0.566
  0.42666667  0.67375     0.45        0.5         0.2775      0.766       0.6925
  0.67111111  0.505       0.62555556  0.45375     0.51666667  0.255
  0.52444444  0.798       0.49777778  0.5525      0.26222222  0.49333333
  0.63      ]"
8,HNU_1_deter_csa_con_aparc150+subcort,binar,eigenvector_centrality,standard,LR,0.503333333333,0.152897932549,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.54,0.144683562761,"[ 0.45        0.71666667  0.51666667  0.66666667  0.55        0.4
  0.38333333  0.53333333  0.6         0.91666667  0.63333333  0.53333333
  0.51666667  0.58333333  0.38333333  0.45        0.23333333  0.58333333
  0.7         0.48333333  0.78333333  0.65        0.36666667  0.55
  0.48333333  0.25        0.68333333  0.68333333  0.53333333  0.6
  0.53333333  0.41666667  0.76666667  0.65        0.26666667  0.58333333
  0.43333333  0.76666667  0.38333333  0.63333333  0.5         0.66666667
  0.45        0.41666667  0.53333333  0.78333333  0.4         0.4         0.45
  0.55      ]",0.572277777778,0.292967161498,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.548531666667,0.216993525392,"[ 0.62375     0.806       0.55666667  0.68125     0.53        0.3775
  0.4975      0.4025      0.71        0.96875     0.872       0.575
  0.51875     0.57875     0.14        0.31        0.16125     0.396
  0.82444444  0.4975      0.76375     0.59444444  0.4         0.994       0.49
  0.09555556  0.73444444  0.7325      0.5         0.32        0.60444444
  0.4425      0.78666667  0.73625     0.07125     0.822       0.59125
  0.78666667  0.40875     0.62333333  0.52875     0.66555556  0.3725
  0.26444444  0.712       0.77777778  0.28125     0.37333333  0.39
  0.53555556]"
9,HNU_1_deter_csa_con_aparc150+subcort,binar,eigenvector_centrality,standard,SGD,0.57,0.181781309392,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.516666666667,0.151547572289,"[ 0.56666667  0.36666667  0.78333333  0.35        0.71666667  0.36666667
  0.46666667  0.25        0.8         0.7         0.5         0.66666667
  0.31666667  0.45        0.36666667  0.15        0.33333333  0.46666667
  0.48333333  0.63333333  0.73333333  0.55        0.6         0.25
  0.58333333  0.5         0.61666667  0.68333333  0.45        0.45        0.5
  0.55        0.53333333  0.68333333  0.33333333  0.43333333  0.58333333
  0.7         0.41666667  0.55        0.63333333  0.75        0.48333333
  0.6         0.3         0.7         0.36666667  0.51666667  0.41666667
  0.63333333]",0.610972222222,0.223852630094,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.619276111111,0.19780619696,"[ 0.715       0.558       0.88666667  0.3375      0.86333333  0.5725
  0.46375     0.22125     0.82        0.8275      0.796       0.775       0.5375
  0.6725      0.3         0.142       0.23375     0.476       0.45666667
  0.80375     0.8275      0.52555556  0.6         0.732       0.65666667
  0.51666667  0.64555556  0.80375     0.36666667  0.496       0.61888889
  0.71        0.81555556  0.82375     0.265       0.842       0.94125
  0.80333333  0.5625      0.79444444  0.69375     0.80444444  0.50125
  0.70444444  0.56        0.80555556  0.5475      0.56888889  0.29666667
  0.67555556]"
