,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_csd_con_ROIv_scale125,binar,bag_of_edges,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
1,HNU_1_deter_csd_con_ROIv_scale125,binar,bag_of_edges,standard,SGD,0.54,0.161107279648,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.503333333333,0.14824903972,"[ 0.46666667  0.65        0.51666667  0.36666667  0.55        0.4         0.45
  0.45        0.51666667  0.58333333  0.68333333  0.33333333  0.68333333
  0.63333333  0.26666667  0.66666667  0.23333333  0.48333333  0.3         0.6
  0.71666667  0.65        0.25        0.48333333  0.6         0.15
  0.48333333  0.46666667  0.6         0.5         0.61666667  0.4         0.65
  0.6         0.26666667  0.65        0.6         0.73333333  0.55        0.45
  0.45        0.63333333  0.61666667  0.58333333  0.58333333  0.46666667
  0.41666667  0.63333333  0.1         0.43333333]",0.581402777778,0.130706033256,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.515309444444,0.0994294539074,"[ 0.525       0.72        0.43333333  0.4375      0.73555556  0.39        0.575
  0.49125     0.5         0.5         0.72        0.488125    0.5         0.625
  0.367       0.51        0.446875    0.51        0.51666667  0.55        0.5
  0.5         0.51666667  0.5         0.51666667  0.56666667  0.55555556
  0.5         0.5         0.5         0.48333333  0.415       0.5         0.5
  0.3375      0.77        0.75        0.5         0.5         0.46666667
  0.5875      0.5         0.4875      0.66666667  0.5         0.5         0.395
  0.43333333  0.25944444  0.51666667]"
2,HNU_1_deter_csd_con_ROIv_scale125,binar,degrees,standard,LR,0.503333333333,0.14236104336,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.494666666667,0.13886204185,"[ 0.45        0.56666667  0.68333333  0.5         0.51666667  0.55
  0.46666667  0.38333333  0.68333333  0.71666667  0.63333333  0.28333333
  0.6         0.65        0.23333333  0.33333333  0.38333333  0.6
  0.23333333  0.55        0.61666667  0.58333333  0.36666667  0.58333333
  0.55        0.26666667  0.75        0.56666667  0.55        0.5
  0.58333333  0.53333333  0.6         0.43333333  0.25        0.5
  0.53333333  0.8         0.46666667  0.35        0.4         0.35
  0.48333333  0.5         0.35        0.43333333  0.4         0.71666667
  0.33333333  0.36666667]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
3,HNU_1_deter_csd_con_ROIv_scale125,binar,degrees,standard,SGD,0.493333333333,0.138884444373,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.477,0.133453695673,"[ 0.41666667  0.53333333  0.7         0.46666667  0.48333333  0.51666667
  0.48333333  0.41666667  0.65        0.68333333  0.58333333  0.26666667
  0.53333333  0.61666667  0.23333333  0.33333333  0.36666667  0.55
  0.31666667  0.53333333  0.55        0.6         0.36666667  0.3
  0.53333333  0.31666667  0.73333333  0.53333333  0.55        0.45
  0.58333333  0.51666667  0.63333333  0.46666667  0.23333333  0.35
  0.53333333  0.8         0.4         0.43333333  0.38333333  0.35
  0.46666667  0.5         0.3         0.48333333  0.38333333  0.71666667
  0.35        0.35      ]",0.508333333333,0.210484963247,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.546009444444,0.196691806978,"[ 0.54        0.826       0.64777778  0.61125     0.65555556  0.745
  0.55625     0.30625     0.6975      0.59875     0.872       0.285       0.5975
  0.57875     0.238       0.434       0.29375     0.484       0.20777778
  0.5075      0.62875     0.59333333  0.42777778  0.996       0.71
  0.23666667  0.81        0.5125      0.68111111  0.404       0.69333333
  0.7125      0.91333333  0.61875     0.09        0.308       0.78125
  0.84333333  0.54125     0.48111111  0.46875     0.39        0.4075      0.53
  0.4         0.61        0.3975      0.65666667  0.29222222  0.48222222]"
4,HNU_1_deter_csd_con_ROIv_scale125,binar,closeness_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
5,HNU_1_deter_csd_con_ROIv_scale125,binar,closeness_centrality,standard,SGD,0.49,0.161107279648,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.462666666667,0.123763214783,"[ 0.4         0.4         0.45        0.55        0.46666667  0.55
  0.36666667  0.58333333  0.48333333  0.4         0.53333333  0.26666667
  0.55        0.53333333  0.4         0.25        0.15        0.56666667
  0.43333333  0.41666667  0.66666667  0.7         0.36666667  0.43333333
  0.48333333  0.23333333  0.7         0.41666667  0.48333333  0.46666667
  0.6         0.51666667  0.51666667  0.51666667  0.13333333  0.46666667
  0.6         0.51666667  0.53333333  0.48333333  0.45        0.41666667
  0.36666667  0.51666667  0.58333333  0.58333333  0.31666667  0.61666667
  0.33333333  0.36666667]",0.5,0.0,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.465808333333,0.0944978747556,"[ 0.566875    0.5         0.5         0.5         0.5         0.5         0.5
  0.5         0.5         0.5         0.5         0.06        0.349375    0.5
  0.5         0.5         0.325       0.5         0.5         0.5         0.2375
  0.5         0.5         0.5         0.18333333  0.5         0.5         0.5
  0.5         0.5         0.47333333  0.32625     0.5         0.5         0.5
  0.5         0.5         0.5         0.5         0.5         0.26875     0.5
  0.5         0.5         0.5         0.5         0.5         0.5         0.5
  0.5       ]"
6,HNU_1_deter_csd_con_ROIv_scale125,binar,betweenness_centrality,standard,LR,0.623333333333,0.119536140514,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.552,0.110736925489,"[ 0.73333333  0.5         0.56666667  0.61666667  0.58333333  0.48333333
  0.7         0.53333333  0.61666667  0.58333333  0.45        0.65
  0.53333333  0.65        0.38333333  0.35        0.41666667  0.51666667
  0.7         0.58333333  0.56666667  0.55        0.56666667  0.33333333
  0.56666667  0.48333333  0.78333333  0.53333333  0.56666667  0.31666667
  0.68333333  0.58333333  0.55        0.46666667  0.66666667  0.5
  0.48333333  0.71666667  0.56666667  0.71666667  0.6         0.65        0.5
  0.36666667  0.51666667  0.63333333  0.31666667  0.43333333  0.6
  0.63333333]",0.67225,0.153465985293,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.669598888889,0.173653402508,"[ 0.82        0.564       0.62333333  0.8625      0.61666667  0.57875
  0.7775      0.69125     0.76875     0.57375     0.63        0.83375
  0.5375      0.82        0.928       0.944       0.33125     0.78
  0.74777778  0.84        0.7725      0.50111111  0.66666667  0.866
  0.75444444  0.44        0.74222222  0.39125     0.77        0.664
  0.75555556  0.75375     0.85333333  0.52        0.57875     0.298       0.69
  0.86555556  0.74125     0.81        0.4075      0.79777778  0.5475
  0.39555556  0.544       0.72555556  0.19        0.49888889  0.81111111
  0.85888889]"
7,HNU_1_deter_csd_con_ROIv_scale125,binar,betweenness_centrality,standard,SGD,0.616666666667,0.118790197875,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.539,0.155335121592,"[ 0.6         0.18333333  0.66666667  0.35        0.56666667  0.46666667
  0.58333333  0.6         0.6         0.6         0.23333333  0.53333333
  0.6         0.61666667  0.2         0.26666667  0.38333333  0.46666667
  0.63333333  0.58333333  0.63333333  0.56666667  0.58333333  0.3
  0.73333333  0.48333333  0.65        0.53333333  0.75        0.28333333
  0.66666667  0.65        0.75        0.46666667  0.65        0.45
  0.56666667  0.8         0.63333333  0.71666667  0.6         0.61666667
  0.56666667  0.36666667  0.28333333  0.68333333  0.36666667  0.43333333
  0.68333333  0.75      ]",0.67525,0.153528569344,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.661301111111,0.17600654084,"[ 0.7025      0.528       0.64222222  0.8625      0.66666667  0.54625
  0.73875     0.68        0.73125     0.56375     0.536       0.85625
  0.53875     0.81125     0.838       0.944       0.265       0.768
  0.70444444  0.84        0.8175      0.50777778  0.67444444  0.768
  0.77111111  0.43111111  0.80333333  0.41875     0.85111111  0.67
  0.73888889  0.72125     0.85333333  0.54875     0.58875     0.362       0.635
  0.91666667  0.71125     0.83111111  0.4         0.80333333  0.565
  0.32666667  0.508       0.75333333  0.235       0.40333333  0.80555556
  0.88111111]"
8,HNU_1_deter_csd_con_ROIv_scale125,binar,eigenvector_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
9,HNU_1_deter_csd_con_ROIv_scale125,binar,eigenvector_centrality,standard,SGD,0.49,0.126754355612,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.468333333333,0.132129986503,"[ 0.5         0.4         0.55        0.35        0.48333333  0.61666667
  0.56666667  0.38333333  0.5         0.76666667  0.48333333  0.36666667
  0.6         0.51666667  0.58333333  0.46666667  0.43333333  0.21666667
  0.35        0.46666667  0.5         0.81666667  0.28333333  0.43333333
  0.36666667  0.31666667  0.7         0.48333333  0.51666667  0.28333333
  0.46666667  0.43333333  0.61666667  0.43333333  0.26666667  0.56666667
  0.63333333  0.53333333  0.33333333  0.26666667  0.46666667  0.33333333
  0.41666667  0.55        0.41666667  0.45        0.33333333  0.73333333
  0.31666667  0.55      ]",0.5,0.0,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
