,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_csd_con_aparc68+subcort,max,bag_of_edges,standard,LR,0.52,0.0798609903381,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.528,0.156753167609,"[ 0.46666667  0.51666667  0.26666667  0.43333333  0.78333333  0.65
  0.71666667  0.56666667  0.51666667  0.6         0.86666667  0.25
  0.56666667  0.58333333  0.48333333  0.48333333  0.18333333  0.4
  0.78333333  0.36666667  0.71666667  0.38333333  0.45        0.75
  0.63333333  0.43333333  0.56666667  0.38333333  0.51666667  0.65        0.6
  0.58333333  0.63333333  0.7         0.26666667  0.6         0.7
  0.61666667  0.45        0.5         0.46666667  0.65        0.55        0.45
  0.55        0.7         0.31666667  0.45        0.13333333  0.51666667]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
1,HNU_1_deter_csd_con_aparc68+subcort,max,bag_of_edges,standard,SGD,0.55,0.0906764700582,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.471666666667,0.139413453838,"[ 0.48333333  0.33333333  0.31666667  0.45        0.65        0.5
  0.76666667  0.58333333  0.38333333  0.55        0.56666667  0.26666667
  0.5         0.55        0.48333333  0.43333333  0.43333333  0.33333333
  0.75        0.33333333  0.71666667  0.3         0.38333333  0.26666667
  0.45        0.36666667  0.56666667  0.46666667  0.36666667  0.38333333
  0.55        0.66666667  0.5         0.61666667  0.21666667  0.56666667
  0.51666667  0.71666667  0.31666667  0.51666667  0.38333333  0.58333333
  0.5         0.38333333  0.51666667  0.6         0.31666667  0.58333333
  0.13333333  0.46666667]",0.618722222222,0.169769233351,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.629678333333,0.226500828228,"[ 0.38        0.948       0.13888889  0.49625     0.75888889  0.7375      0.835
  0.03875     0.41125     0.59125     0.95        0.675       0.87875
  0.40875     0.942       0.208       0.46        0.604       0.5         0.46875
  0.72125     0.53        0.5         0.994       0.85111111  0.55        0.66
  0.225       0.54444444  0.98        0.61555556  0.7375      0.69777778
  0.33625     0.45        0.978       0.8875      0.67333333  0.855
  0.50222222  0.775       0.69        0.51        0.78        0.562
  0.95555556  0.7325      0.55666667  0.52555556  0.67666667]"
2,HNU_1_deter_csd_con_aparc68+subcort,max,degrees,standard,LR,0.543333333333,0.175309250564,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.550666666667,0.114889318718,"[ 0.56666667  0.45        0.56666667  0.53333333  0.65        0.56666667
  0.65        0.73333333  0.53333333  0.71666667  0.68333333  0.4
  0.46666667  0.53333333  0.35        0.61666667  0.28333333  0.45        0.5
  0.63333333  0.63333333  0.61666667  0.66666667  0.55        0.71666667
  0.38333333  0.66666667  0.48333333  0.5         0.7         0.65
  0.41666667  0.7         0.66666667  0.38333333  0.51666667  0.66666667
  0.68333333  0.46666667  0.55        0.7         0.61666667  0.45        0.5
  0.51666667  0.61666667  0.35        0.43333333  0.43333333  0.41666667]",0.573916666667,0.167228137585,"{'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.605586666667,0.180607441061,"[ 0.52875     0.968       0.49666667  0.5575      0.70666667  0.405
  0.58125     0.545       0.62125     0.71        0.74        0.3475
  0.7775      0.63875     0.438       0.896       0.4075      0.7
  0.33111111  0.55        0.66125     0.63333333  0.42888889  0.822
  0.69666667  0.46333333  0.80333333  0.74375     0.50111111  0.924
  0.30555556  0.56125     0.82333333  0.715       0.29125     0.35        0.84125
  0.78222222  0.4775      0.69888889  0.7225      0.73555556  0.5425
  0.64444444  0.848       0.67333333  0.46375     0.46666667  0.14666667
  0.56555556]"
3,HNU_1_deter_csd_con_aparc68+subcort,max,degrees,standard,SGD,0.566666666667,0.0849836585599,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.539333333333,0.135267635942,"[ 0.38333333  0.46666667  0.53333333  0.53333333  0.63333333  0.36666667
  0.71666667  0.56666667  0.63333333  0.71666667  0.73333333  0.35
  0.56666667  0.61666667  0.21666667  0.63333333  0.36666667  0.53333333
  0.36666667  0.53333333  0.55        0.58333333  0.43333333  0.55
  0.58333333  0.41666667  0.73333333  0.58333333  0.5         0.68333333
  0.31666667  0.63333333  0.63333333  0.63333333  0.36666667  0.31666667
  0.81666667  0.68333333  0.56666667  0.58333333  0.71666667  0.7
  0.61666667  0.61666667  0.36666667  0.53333333  0.45        0.53333333
  0.28333333  0.51666667]",0.636833333333,0.199833368085,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.626796111111,0.190059198917,"[ 0.545       0.954       0.46888889  0.57625     0.8         0.3525
  0.6725      0.64875     0.62625     0.765       0.716       0.355       0.87
  0.6125      0.38        0.952       0.4575      0.748       0.36111111
  0.53        0.65125     0.65111111  0.41666667  0.854       0.71222222
  0.44888889  0.82888889  0.70125     0.52666667  0.936       0.35555556
  0.62375     0.85888889  0.76875     0.25375     0.356       0.895
  0.81444444  0.58875     0.69444444  0.745       0.74888889  0.64875
  0.66444444  0.812       0.71        0.43875     0.46444444  0.16666667
  0.61333333]"
4,HNU_1_deter_csd_con_aparc68+subcort,max,closeness_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.512069444444,0.163770981598,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.511430833333,0.203043665036,"[ 0.4225      0.312       0.49777778  0.52875     0.39333333  0.56125
  0.25125     0.80625     0.75375     0.8725      0.928       0.32375
  0.50375     0.66375     0.534       0.378       0.16375     0.518
  0.51722222  0.60625     0.539375    0.62444444  0.64555556  0.802
  0.37888889  0.27888889  0.71444444  0.57625     0.64        0.45
  0.25444444  0.2         0.69222222  0.46875     0.58        0.812
  0.87125     0.69111111  0.31625     0.48222222  0.31125     0.52777778
  0.28625     0.71111111  0.484       0.46777778  0.11        0.57388889
  0.03444444  0.51111111]"
5,HNU_1_deter_csd_con_aparc68+subcort,max,closeness_centrality,standard,SGD,0.526666666667,0.189326290949,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.388,0.130641153972,"[ 0.3         0.21666667  0.5         0.46666667  0.46666667  0.38333333
  0.31666667  0.4         0.33333333  0.4         0.16666667  0.36666667
  0.4         0.33333333  0.25        0.16666667  0.35        0.16666667
  0.55        0.35        0.4         0.58333333  0.61666667  0.26666667
  0.43333333  0.5         0.5         0.33333333  0.66666667  0.16666667
  0.4         0.21666667  0.56666667  0.35        0.48333333  0.16666667
  0.33333333  0.6         0.28333333  0.45        0.3         0.5
  0.33333333  0.61666667  0.25        0.38333333  0.4         0.53333333
  0.53333333  0.35      ]",0.570208333333,0.175977659304,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.536795277778,0.172721406015,"[ 0.425       0.426       0.44888889  0.64875     0.61888889  0.68375
  0.25625     0.81375     0.5         0.725       0.5         0.27625
  0.50625     0.78375     0.406       0.572       0.2775      0.596
  0.59388889  0.5         0.500625    0.65        0.71222222  0.806
  0.37555556  0.49666667  0.5         0.5         0.76111111  0.5
  0.36888889  0.18375     0.61555556  0.44125     0.7525      0.954       0.8875
  0.74222222  0.28625     0.47222222  0.27375     0.59666667  0.35
  0.62444444  0.504       0.42888889  0.395       0.57388889  0.63777778
  0.39111111]"
6,HNU_1_deter_csd_con_aparc68+subcort,max,betweenness_centrality,standard,LR,0.573333333333,0.137679176187,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.447,0.144978542474,"[ 0.36666667  0.2         0.48333333  0.51666667  0.7         0.35
  0.38333333  0.53333333  0.33333333  0.46666667  0.33333333  0.56666667
  0.46666667  0.48333333  0.2         0.23333333  0.38333333  0.35
  0.53333333  0.45        0.38333333  0.75        0.26666667  0.36666667
  0.66666667  0.45        0.3         0.48333333  0.88333333  0.3
  0.31666667  0.48333333  0.5         0.5         0.35        0.35
  0.53333333  0.61666667  0.41666667  0.3         0.35        0.38333333
  0.3         0.5         0.4         0.63333333  0.4         0.76666667
  0.6         0.46666667]",0.587833333333,0.170275208427,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.578828888889,0.217761692388,"[ 0.44625     0.82        0.76777778  0.5775      0.68555556  0.13125
  0.29125     0.5025      0.81125     0.645       0.61        0.82375     0.54
  0.68875     0.594       0.996       0.26125     0.66        0.45333333
  0.6975      0.5025      0.75555556  0.12444444  0.76        0.72222222
  0.47888889  0.11444444  0.61375     0.93        0.636       0.33        0.585
  0.17777778  0.48875     0.495       0.598       0.885       0.76111111
  0.4925      0.24444444  0.72125     0.46        0.22875     0.54222222
  0.688       0.65666667  0.92625     0.82666667  0.69888889  0.49444444]"
7,HNU_1_deter_csd_con_aparc68+subcort,max,betweenness_centrality,standard,SGD,0.546666666667,0.168457050247,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.446,0.148532076596,"[ 0.36666667  0.2         0.35        0.58333333  0.6         0.35
  0.38333333  0.5         0.33333333  0.38333333  0.4         0.38333333
  0.43333333  0.45        0.23333333  0.21666667  0.35        0.23333333
  0.53333333  0.38333333  0.48333333  0.73333333  0.26666667  0.38333333
  0.75        0.46666667  0.5         0.58333333  0.78333333  0.23333333
  0.3         0.48333333  0.43333333  0.48333333  0.35        0.4
  0.46666667  0.76666667  0.41666667  0.31666667  0.43333333  0.38333333
  0.3         0.5         0.48333333  0.63333333  0.38333333  0.78333333
  0.66666667  0.46666667]",0.592888888889,0.181215192486,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.584866111111,0.211184295187,"[ 0.44375     0.82        0.83111111  0.58125     0.68444444  0.13375
  0.29125     0.50375     0.80875     0.66625     0.612       0.82375
  0.53875     0.69375     0.594       0.976       0.2575      0.638       0.45
  0.69875     0.505       0.75777778  0.12666667  0.76        0.72888889
  0.47777778  0.14111111  0.6175      0.93666667  0.63        0.33111111
  0.585       0.40222222  0.495       0.495       0.598       0.89625
  0.76111111  0.49        0.24666667  0.715       0.46        0.23125
  0.53888889  0.676       0.65111111  0.9225      0.82777778  0.69888889
  0.49333333]"
8,HNU_1_deter_csd_con_aparc68+subcort,max,eigenvector_centrality,standard,LR,0.513333333333,0.0618241233033,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.525666666667,0.119824408569,"[ 0.51666667  0.66666667  0.48333333  0.45        0.55        0.5
  0.63333333  0.71666667  0.46666667  0.65        0.8         0.5
  0.58333333  0.48333333  0.36666667  0.56666667  0.33333333  0.51666667
  0.38333333  0.36666667  0.56666667  0.61666667  0.61666667  0.63333333
  0.75        0.33333333  0.68333333  0.53333333  0.35        0.43333333
  0.46666667  0.65        0.63333333  0.6         0.33333333  0.66666667
  0.63333333  0.56666667  0.46666667  0.48333333  0.53333333  0.56666667
  0.48333333  0.51666667  0.48333333  0.58333333  0.46666667  0.51666667
  0.2         0.38333333]",0.5085,0.105589409776,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.540703888889,0.195921966358,"[ 0.45        0.988       0.52666667  0.52        0.53666667  0.1925
  0.6925      0.65375     0.47        0.54375     0.88        0.1025
  0.7475      0.65        0.442       0.666       0.31625     0.628
  0.39555556  0.3125      0.675       0.65888889  0.72555556  0.898
  0.76333333  0.52        0.68333333  0.5275      0.41888889  0.434
  0.29555556  0.71375     0.70666667  0.71125     0.3425      0.238
  0.66875     0.64666667  0.43375     0.40111111  0.58625     0.42777778
  0.40125     0.45888889  0.728       0.69444444  0.4275      0.50444444
  0.00888889  0.62111111]"
9,HNU_1_deter_csd_con_aparc68+subcort,max,eigenvector_centrality,standard,SGD,0.543333333333,0.0646357314322,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.496333333333,0.146412279388,"[ 0.41666667  0.45        0.48333333  0.43333333  0.68333333  0.3         0.7
  0.68333333  0.5         0.61666667  0.56666667  0.35        0.65        0.65
  0.33333333  0.31666667  0.35        0.41666667  0.35        0.4
  0.41666667  0.68333333  0.71666667  0.5         0.76666667  0.5
  0.61666667  0.3         0.4         0.45        0.58333333  0.48333333
  0.66666667  0.63333333  0.46666667  0.3         0.75        0.68333333
  0.38333333  0.43333333  0.45        0.53333333  0.48333333  0.5         0.35
  0.68333333  0.43333333  0.5         0.05        0.45      ]",0.537166666667,0.115654091269,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.510166666667,0.204412922993,"[ 0.4275      0.986       0.44444444  0.51625     0.71444444  0.2275
  0.5125      0.68125     0.47        0.63125     0.932       0.16375     0.71
  0.65        0.358       0.298       0.31        0.696       0.32333333
  0.21875     0.57125     0.66333333  0.71666667  0.65        0.80888889
  0.56666667  0.76888889  0.44        0.23777778  0.458       0.49777778
  0.585       0.70888889  0.6325      0.31875     0.16        0.6025      0.74
  0.375       0.32222222  0.56        0.37888889  0.3325      0.52555556
  0.542       0.78111111  0.43875     0.44444444  0.00777778  0.40222222]"
