,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_deter_dti_con_aparc150+subcort,mean,bag_of_edges,standard,LR,0.69387755102,0.0906448226456,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.682,0.118220133649,"[ 0.7   0.65  0.6   0.7   0.5   0.65  0.6   0.65  0.8   0.85  0.8   0.4
  0.7   0.6   0.8   0.75  0.55  0.55  0.55  0.5   0.8   0.75  0.8   0.65
  0.6   0.8   0.4   0.75  0.7   0.8   0.5   0.7   0.8   0.65  0.65  0.75
  0.6   0.8   0.6   0.75  0.65  0.6   0.6   0.85  0.6   0.8   0.75  0.7
  0.9   0.9 ]",0.756462585034,0.105890703103,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727029563492,0.137781118667,"[ 0.76041667  0.8         0.59        0.72916667  0.46875     0.75
  0.79166667  0.71        0.92857143  0.875       0.63095238  0.32
  0.828125    0.4047619   0.76041667  0.88888889  0.75        0.59375
  0.6875      0.55208333  0.92        0.5952381   0.69        0.78125
  0.6875      0.85        0.58333333  0.79        0.78        0.73809524
  0.5         0.83333333  0.85714286  0.69791667  0.75        0.625
  0.72619048  1.          0.67708333  0.83333333  0.70238095  0.65625
  0.65625     0.84375     0.65625     0.81        0.80208333  0.62
  0.91666667  0.95238095]"
1,BNU_1_deter_dti_con_aparc150+subcort,mean,bag_of_edges,standard,SGD,0.724489795918,0.105951152525,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.554,0.169068033643,"[ 0.65  0.6   0.6   0.5   0.5   0.55  0.6   0.65  0.8   0.7   0.45  0.6
  0.4   0.3   0.55  0.25  0.25  0.6   0.8   0.6   0.6   0.3   0.5   0.7
  0.55  0.85  0.4   0.55  0.6   0.3   0.35  0.85  0.3   0.45  0.6   0.5
  0.5   0.4   0.55  0.85  0.5   0.2   0.6   0.75  0.65  0.7   0.65  0.7
  0.9   0.4 ]",0.757738095238,0.0901959554201,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.709491468254,0.162150992792,"[ 0.70833333  0.8         0.6         0.86458333  0.53125     0.421875
  0.78125     0.68        0.92857143  0.86458333  0.54761905  0.48
  0.765625    0.33333333  0.5625      0.88888889  0.734375    0.59375
  0.67708333  0.52083333  0.77        0.32142857  0.66        0.92708333
  0.52083333  0.61        0.76190476  0.78        0.93        0.86904762
  0.33333333  0.88095238  0.83333333  0.86458333  0.63095238  0.67708333
  0.67857143  0.953125    0.72916667  0.8125      0.76190476  0.546875
  0.70833333  0.875       0.86458333  0.81        0.82291667  0.77        0.84375
  0.64285714]"
2,BNU_1_deter_dti_con_aparc150+subcort,mean,degrees,standard,LR,0.642857142857,0.0814411017928,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.607,0.130387882873,"[ 0.7   0.6   0.5   0.55  0.65  0.4   0.6   0.3   0.7   0.55  0.6   0.75
  0.6   0.65  0.7   0.55  0.7   0.55  0.9   0.6   0.7   0.4   0.6   0.8
  0.5   0.55  0.6   0.55  0.45  0.75  0.25  0.65  0.7   0.75  0.7   0.6
  0.7   0.65  0.8   0.75  0.85  0.35  0.5   0.55  0.65  0.6   0.55  0.6
  0.6   0.5 ]",0.678146258503,0.127776091108,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.676383730159,0.159793243185,"[ 0.79166667  0.65        0.53        0.5625      0.63541667  0.59375
  0.8125      0.59        0.73809524  0.69791667  0.61904762  0.69
  0.890625    0.70238095  0.78125     0.88888889  0.703125    0.4375
  0.95833333  0.75        0.72        0.19047619  0.66        0.61458333
  0.40625     0.66        0.82142857  0.61        0.66        0.89285714
  0.36458333  0.69047619  0.8452381   0.76041667  0.72619048  0.84375
  0.72619048  0.75        0.82291667  0.77083333  0.97619048  0.375
  0.48958333  0.625       0.625       0.84        0.65625     0.67
  0.64583333  0.35714286]"
3,BNU_1_deter_dti_con_aparc150+subcort,mean,degrees,standard,SGD,0.663265306122,0.0424557381677,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.544,0.136981750609,"[ 0.5   0.6   0.45  0.4   0.4   0.25  0.65  0.5   0.6   0.65  0.55  0.4
  0.55  0.4   0.55  0.55  0.55  0.4   0.8   0.45  0.55  0.5   0.55  0.45
  0.3   0.5   0.65  0.55  0.7   0.8   0.4   0.45  0.75  0.6   0.75  0.7
  0.6   0.35  0.8   0.65  0.8   0.35  0.5   0.5   0.45  0.75  0.4   0.55
  0.65  0.45]",0.711139455782,0.125625243976,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.620603968254,0.186804411888,"[ 0.75        0.66        0.45        0.45833333  0.41666667  0.578125
  0.875       0.66        0.67857143  0.71875     0.6547619   0.51        0.6875
  0.5         0.77083333  0.88888889  0.609375    0.390625    0.89583333
  0.57291667  0.72        0.          0.59        0.60416667  0.30208333
  0.61        0.8452381   0.64        0.72        0.85714286  0.33333333
  0.57142857  0.8452381   0.85416667  0.67857143  0.82291667  0.73809524
  0.671875    0.82291667  0.67708333  0.9047619   0.34375     0.42708333
  0.5         0.52083333  0.82        0.44791667  0.55        0.55208333
  0.33333333]"
4,BNU_1_deter_dti_con_aparc150+subcort,mean,closeness_centrality,standard,LR,0.581632653061,0.122439531004,"{'C': 0.5, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.559,0.113441614939,"[ 0.65  0.65  0.6   0.6   0.35  0.35  0.7   0.5   0.7   0.7   0.55  0.55
  0.65  0.6   0.5   0.65  0.6   0.2   0.7   0.5   0.65  0.35  0.6   0.4
  0.55  0.65  0.5   0.4   0.7   0.6   0.45  0.5   0.55  0.6   0.45  0.6
  0.7   0.5   0.65  0.65  0.6   0.45  0.65  0.45  0.7   0.65  0.4   0.55
  0.55  0.6 ]",0.544302721088,0.152476820377,"{'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.592785912698,0.138421100914,"[ 0.71875     0.55        0.56        0.6875      0.40625     0.59375
  0.73958333  0.58        0.5952381   0.6875      0.44047619  0.5         0.8125
  0.63095238  0.66666667  0.77777778  0.5         0.515625    0.77083333
  0.47916667  0.64        0.14285714  0.75        0.34375     0.5         0.66
  0.58333333  0.47        0.74        0.64285714  0.5         0.58333333
  0.63095238  0.60416667  0.46428571  0.59375     0.78571429  0.875
  0.65625     0.65625     0.63095238  0.34375     0.66666667  0.4375      0.625
  0.82        0.45833333  0.5         0.64583333  0.47619048]"
5,BNU_1_deter_dti_con_aparc150+subcort,mean,closeness_centrality,standard,SGD,0.622448979592,0.0816184794952,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.537,0.116965806969,"[ 0.55  0.6   0.55  0.75  0.25  0.5   0.5   0.55  0.55  0.6   0.55  0.55
  0.35  0.5   0.5   0.5   0.55  0.2   0.6   0.45  0.6   0.3   0.55  0.4
  0.7   0.55  0.45  0.6   0.7   0.6   0.4   0.6   0.5   0.6   0.4   0.6
  0.8   0.6   0.6   0.7   0.5   0.4   0.65  0.5   0.55  0.6   0.7   0.6
  0.45  0.5 ]",0.596853741497,0.115345042771,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.560363888889,0.164045661396,"[ 0.53125     0.55        0.54        0.69791667  0.16666667  0.859375
  0.53125     0.58        0.64285714  0.69791667  0.57142857  0.63        0.4375
  0.52380952  0.73958333  0.44444444  0.515625    0.3125      0.5625
  0.47916667  0.59        0.04761905  0.64        0.27083333  0.6875      0.53
  0.42857143  0.69        0.75        0.70238095  0.40625     0.72619048
  0.47619048  0.625       0.28571429  0.52083333  0.8452381   0.875
  0.60416667  0.6875      0.48809524  0.4375      0.65625     0.625
  0.64583333  0.68        0.67708333  0.55        0.51041667  0.3452381 ]"
6,BNU_1_deter_dti_con_aparc150+subcort,mean,betweenness_centrality,standard,LR,0.520408163265,0.0948363733551,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.504,0.13070577646,"[ 0.55  0.5   0.4   0.55  0.7   0.6   0.35  0.5   0.45  0.4   0.55  0.25
  0.45  0.45  0.45  0.6   0.4   0.6   0.35  0.5   0.35  0.6   0.45  0.55
  0.85  0.45  0.35  0.3   0.55  0.7   0.55  0.55  0.3   0.25  0.6   0.6
  0.4   0.65  0.75  0.5   0.6   0.6   0.5   0.55  0.7   0.25  0.45  0.6
  0.5   0.55]",0.516071428571,0.138989688479,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.471278968254,0.165596621473,"[ 0.35416667  0.68        0.31        0.35416667  0.72916667  0.609375
  0.23958333  0.48        0.30952381  0.42708333  0.48809524  0.35
  0.390625    0.32142857  0.48958333  0.38888889  0.703125    0.34375
  0.44791667  0.28125     0.45        0.55952381  0.63        0.63541667
  0.79166667  0.52        0.39285714  0.35        0.52        0.91666667
  0.5         0.46428571  0.26190476  0.20833333  0.35714286  0.51041667
  0.42857143  0.140625    0.8125      0.61458333  0.42857143  0.4375
  0.45833333  0.375       0.64583333  0.19        0.58333333  0.64
  0.61458333  0.42857143]"
7,BNU_1_deter_dti_con_aparc150+subcort,mean,betweenness_centrality,standard,SGD,0.602040816327,0.0322322659605,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.501,0.12589281155,"[ 0.45  0.6   0.4   0.6   0.7   0.2   0.35  0.6   0.65  0.65  0.4   0.6
  0.55  0.2   0.65  0.5   0.55  0.45  0.45  0.45  0.6   0.45  0.6   0.45
  0.4   0.55  0.4   0.65  0.5   0.8   0.5   0.3   0.5   0.35  0.6   0.35
  0.45  0.25  0.6   0.65  0.5   0.6   0.55  0.45  0.5   0.35  0.55  0.6
  0.45  0.55]",0.655442176871,0.106589856225,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.538721825397,0.14456254921,"[ 0.44791667  0.5         0.45        0.46875     0.63541667  0.34375
  0.34375     0.72        0.88095238  0.59375     0.5         0.67
  0.546875    0.26190476  0.58333333  0.55555556  0.71875     0.546875
  0.5625      0.54166667  0.61        0.72619048  0.63        0.38541667
  0.32291667  0.79        0.46428571  0.67        0.55        0.70238095
  0.3125      0.60714286  0.58333333  0.33333333  0.66666667  0.47916667
  0.52380952  0.140625    0.47916667  0.54166667  0.60714286  0.453125
  0.6875      0.53125     0.54166667  0.4         0.375       0.77
  0.57291667  0.60714286]"
8,BNU_1_deter_dti_con_aparc150+subcort,mean,eigenvector_centrality,standard,LR,0.663265306122,0.099828628206,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.584,0.131696621065,"[ 0.7   0.45  0.5   0.7   0.4   0.35  0.6   0.6   0.65  0.7   0.65  0.4
  0.6   0.8   0.65  0.55  0.6   0.55  0.7   0.9   0.65  0.35  0.5   0.7
  0.55  0.55  0.6   0.5   0.7   0.65  0.4   0.75  0.45  0.5   0.55  0.5
  0.45  0.6   0.65  0.8   0.8   0.35  0.6   0.75  0.5   0.6   0.75  0.4
  0.6   0.4 ]",0.723554421769,0.0520967739148,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.614423214286,0.199684032218,"[ 0.8125      0.61        0.48        0.77083333  0.8125      0.171875
  0.58333333  0.65        0.53571429  0.76041667  0.52380952  0.48        0.40625
  0.76190476  0.70833333  0.41666667  0.890625    0.875       0.75
  0.82291667  0.95        0.22619048  0.39        0.63541667  0.22916667
  0.68        0.64285714  0.71        0.79        0.64285714  0.46875
  0.83333333  0.61904762  0.6875      0.72619048  0.44791667  0.26190476
  0.40625     0.875       0.83333333  0.73809524  0.234375    0.60416667
  0.75        0.54166667  0.91        0.61458333  0.31        0.6875
  0.45238095]"
9,BNU_1_deter_dti_con_aparc150+subcort,mean,eigenvector_centrality,standard,SGD,0.642857142857,0.0629940788349,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.555,0.155643824163,"[ 0.7   0.4   0.5   0.65  0.45  0.2   0.65  0.5   0.65  0.7   0.65  0.4
  0.6   0.8   0.65  0.35  0.6   0.45  0.65  0.9   0.65  0.4   0.55  0.7
  0.4   0.6   0.6   0.45  0.7   0.6   0.4   0.4   0.45  0.5   0.45  0.5
  0.2   0.55  0.65  0.8   0.8   0.3   0.65  0.75  0.45  0.7   0.7   0.4
  0.65  0.35]",0.730272108844,0.0651467660506,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.577955753968,0.202661764209,"[ 0.70833333  0.58        0.46        0.66666667  0.77083333  0.0625      0.5
  0.52        0.4047619   0.63541667  0.63095238  0.38        0.390625
  0.82142857  0.69791667  0.13888889  0.6875      0.953125    0.89583333
  0.76041667  0.92        0.13095238  0.38        0.51041667  0.375       0.7
  0.82142857  0.7         0.93        0.5         0.35416667  0.5
  0.64285714  0.5         0.83333333  0.42708333  0.5         0.5
  0.60416667  0.80208333  0.67857143  0.328125    0.59375     0.73958333
  0.66666667  0.67        0.64583333  0.35        0.5         0.42857143]"
