,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_proba_csd_con_ROIv_scale60,mean,bag_of_edges,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
1,HNU_1_proba_csd_con_ROIv_scale60,mean,bag_of_edges,standard,SGD,0.486666666667,0.140396264591,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.428,0.12967652062,"[ 0.33333333  0.45        0.61666667  0.46666667  0.41666667  0.38333333
  0.63333333  0.41666667  0.51666667  0.58333333  0.63333333  0.48333333
  0.35        0.45        0.3         0.35        0.26666667  0.4
  0.33333333  0.48333333  0.45        0.55        0.26666667  0.45
  0.61666667  0.21666667  0.65        0.3         0.3         0.51666667
  0.45        0.53333333  0.48333333  0.43333333  0.05        0.41666667
  0.63333333  0.53333333  0.43333333  0.35        0.38333333  0.36666667
  0.5         0.41666667  0.21666667  0.51666667  0.33333333  0.63333333
  0.2         0.33333333]",0.500444444444,0.125151957019,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.439710555556,0.172548556513,"[ 0.44375     0.794       0.55        0.34375     0.5         0.5         0.32125
  0.5         0.5         0.29        0.42        0.5925      0.5         0.36875
  0.5         0.22        0.08875     0.51        0.18777778  0.45        0.70375
  0.59777778  0.42444444  0.5         0.52222222  0.03555556  0.49666667
  0.5         0.19        0.5         0.21        0.15        0.13444444
  0.5         0.1525      0.5         0.82875     0.62555556  0.5         0.5
  0.5         0.50666667  0.5         0.56111111  0.5         0.68222222
  0.21        0.55444444  0.36666667  0.45222222]"
2,HNU_1_proba_csd_con_ROIv_scale60,mean,degrees,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
3,HNU_1_proba_csd_con_ROIv_scale60,mean,degrees,standard,SGD,0.443333333333,0.178450117524,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.402,0.152119835802,"[ 0.43333333  0.21666667  0.66666667  0.33333333  0.48333333  0.16666667
  0.56666667  0.56666667  0.3         0.56666667  0.33333333  0.38333333
  0.36666667  0.38333333  0.25        0.51666667  0.26666667  0.43333333
  0.16666667  0.33333333  0.2         0.68333333  0.4         0.35
  0.53333333  0.23333333  0.38333333  0.26666667  0.28333333  0.31666667
  0.55        0.23333333  0.53333333  0.61666667  0.35        0.56666667
  0.63333333  0.43333333  0.4         0.48333333  0.16666667  0.58333333
  0.53333333  0.5         0.3         0.35        0.33333333  0.61666667
  0.          0.53333333]",0.5,0.0,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
4,HNU_1_proba_csd_con_ROIv_scale60,mean,closeness_centrality,standard,LR,0.523333333333,0.158324561161,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.500666666667,0.161484777404,"[ 0.36666667  0.38333333  0.48333333  0.61666667  0.2         0.58333333
  0.45        0.76666667  0.55        0.75        0.8         0.45        0.6
  0.56666667  0.38333333  0.48333333  0.18333333  0.3         0.5
  0.28333333  0.6         0.71666667  0.65        0.45        0.31666667
  0.23333333  0.53333333  0.65        0.6         0.41666667  0.43333333
  0.43333333  0.71666667  0.66666667  0.58333333  0.81666667  0.68333333
  0.51666667  0.45        0.38333333  0.35        0.61666667  0.5
  0.68333333  0.45        0.31666667  0.48333333  0.58333333  0.18333333
  0.31666667]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
5,HNU_1_proba_csd_con_ROIv_scale60,mean,closeness_centrality,standard,SGD,0.543333333333,0.201273721859,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.456666666667,0.153659074288,"[ 0.33333333  0.26666667  0.51666667  0.68333333  0.18333333  0.46666667
  0.46666667  0.68333333  0.61666667  0.5         0.65        0.41666667
  0.51666667  0.43333333  0.4         0.43333333  0.18333333  0.31666667
  0.48333333  0.28333333  0.5         0.68333333  0.61666667  0.4         0.4
  0.3         0.55        0.56666667  0.55        0.25        0.46666667
  0.36666667  0.66666667  0.61666667  0.58333333  0.88333333  0.48333333
  0.48333333  0.36666667  0.31666667  0.31666667  0.36666667  0.5
  0.63333333  0.41666667  0.31666667  0.45        0.45        0.03333333
  0.46666667]",0.54475,0.209373079501,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.565028333333,0.236734199187,"[ 0.9575      0.848       0.48666667  0.4775      0.42888889  0.16875
  0.5775      0.83875     0.70875     0.8175      0.9         0.4575
  0.58375     0.37125     0.464       0.28        0.08125     0.192
  0.35555556  0.42625     0.68375     0.76111111  0.59888889  0.954
  0.39444444  0.15333333  0.56666667  0.8725      0.44888889  0.652
  0.51555556  0.54625     0.93555556  0.69125     0.36        1.          0.845
  0.39777778  0.37125     0.35111111  0.48125     0.78222222  0.63875     0.78
  0.926       0.59        0.4125      0.51444444  0.17333333  0.43222222]"
6,HNU_1_proba_csd_con_ROIv_scale60,mean,betweenness_centrality,standard,LR,0.58,0.133083098518,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.598666666667,0.147265444389,"[ 0.61666667  0.46666667  0.75        0.33333333  0.48333333  0.55
  0.61666667  0.68333333  0.58333333  0.61666667  0.86666667  0.45
  0.61666667  0.75        0.41666667  0.5         0.58333333  0.58333333
  0.56666667  0.7         0.65        0.75        0.76666667  0.5         0.7
  0.3         0.75        0.65        0.7         0.83333333  0.71666667
  0.65        0.66666667  0.9         0.33333333  0.4         0.5
  0.58333333  0.53333333  0.51666667  0.48333333  0.71666667  0.86666667
  0.55        0.48333333  0.61666667  0.48333333  0.83333333  0.43333333
  0.33333333]",0.649527777778,0.175134243044,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.669012222222,0.227047747579,"[ 0.94375     0.904       0.85111111  0.451875    0.49        0.78        0.60375
  0.77375     0.696875    0.78625     1.          0.3225      0.6675      0.47
  0.378       0.125       0.6175      0.272       0.49888889  0.78625
  0.813125    0.96666667  0.94222222  0.962       0.87444444  0.24111111
  0.70888889  0.615       0.77444444  0.77        0.87333333  0.67375
  0.81333333  0.8775      0.370625    0.396       0.8725      0.66166667
  0.47375     0.43111111  0.62875     0.82666667  0.88125     0.61111111
  1.          0.72        0.65125     0.92        0.18777778  0.49333333]"
7,HNU_1_proba_csd_con_ROIv_scale60,mean,betweenness_centrality,standard,SGD,0.613333333333,0.0710242525089,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.519666666667,0.168973699466,"[ 0.63333333  0.43333333  0.73333333  0.31666667  0.48333333  0.5         0.55
  0.63333333  0.65        0.66666667  0.2         0.43333333  0.5
  0.58333333  0.26666667  0.2         0.48333333  0.35        0.56666667
  0.58333333  0.56666667  0.76666667  0.86666667  0.4         0.71666667
  0.66666667  0.73333333  0.6         0.7         0.16666667  0.75
  0.48333333  0.7         0.33333333  0.3         0.3         0.5
  0.58333333  0.45        0.5         0.46666667  0.75        0.5
  0.51666667  0.33333333  0.61666667  0.36666667  0.81666667  0.43333333
  0.33333333]",0.685888888889,0.100356563387,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.654604166667,0.219879690997,"[ 0.6575      0.928       0.86777778  0.430625    0.49333333  0.78        0.6125
  0.7375      0.700625    0.6775      0.98        0.323125    0.60375
  0.49625     0.364       0.125       0.520625    0.002       0.64        0.78625
  0.814375    0.96777778  0.88333333  0.932       0.87222222  0.48555556
  0.70777778  0.6075      0.78444444  0.702       0.79277778  0.68
  0.84833333  0.95        0.370625    0.598       0.70125     0.53777778
  0.485       0.45111111  0.64625     0.76888889  0.903125    0.68222222
  0.904       0.72444444  0.5875      0.92222222  0.19111111  0.50222222]"
8,HNU_1_proba_csd_con_ROIv_scale60,mean,eigenvector_centrality,standard,LR,0.56,0.181536650723,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.497666666667,0.138684694341,"[ 0.46666667  0.38333333  0.61666667  0.65        0.5         0.15        0.55
  0.51666667  0.65        0.58333333  0.61666667  0.33333333  0.61666667
  0.53333333  0.33333333  0.33333333  0.4         0.48333333  0.31666667
  0.45        0.65        0.83333333  0.4         0.33333333  0.58333333
  0.51666667  0.63333333  0.55        0.61666667  0.21666667  0.48333333
  0.28333333  0.7         0.61666667  0.6         0.55        0.71666667
  0.6         0.4         0.45        0.4         0.46666667  0.53333333
  0.43333333  0.36666667  0.35        0.63333333  0.6         0.31666667
  0.56666667]",0.5385,0.248357527407,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.516638888889,0.208727239759,"[ 0.8575      0.894       0.61888889  0.6425      0.48111111  0.04375     0.59
  0.4925      0.67375     0.72375     0.996       0.4925      0.61875     0.67
  0.296       0.31        0.38        0.476       0.24777778  0.435
  0.66625     0.66666667  0.45555556  1.          0.80444444  0.51111111
  0.52        0.515       0.66666667  0.174       0.47777778  0.19875
  0.89111111  0.52375     0.47        0.342       0.535       0.60111111
  0.20875     0.34666667  0.425       0.43222222  0.56375     0.38222222
  0.372       0.40777778  0.66125     0.48888889  0.15555556  0.42888889]"
9,HNU_1_proba_csd_con_ROIv_scale60,mean,eigenvector_centrality,standard,SGD,0.54,0.148548533034,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.466,0.132788888424,"[ 0.48333333  0.41666667  0.55        0.51666667  0.8         0.28333333
  0.63333333  0.36666667  0.55        0.48333333  0.6         0.53333333
  0.5         0.48333333  0.43333333  0.46666667  0.4         0.35        0.45
  0.41666667  0.55        0.7         0.33333333  0.26666667  0.58333333
  0.41666667  0.66666667  0.6         0.58333333  0.18333333  0.4
  0.33333333  0.71666667  0.36666667  0.5         0.51666667  0.53333333
  0.56666667  0.28333333  0.33333333  0.45        0.55        0.5
  0.36666667  0.23333333  0.53333333  0.4         0.55        0.16666667
  0.4       ]",0.558805555556,0.0764971757729,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.481507222222,0.0817928939098,"[ 0.5         0.5         0.5         0.31625     0.5         0.5         0.5
  0.5         0.5         0.59875     0.5         0.5         0.48625     0.5
  0.5         0.5         0.3025      0.5         0.5         0.5         0.6625
  0.5         0.35777778  0.5         0.5         0.44777778  0.5         0.5
  0.5         0.348       0.43333333  0.5         0.5         0.5         0.5
  0.5         0.5         0.69333333  0.20625     0.5         0.5         0.5
  0.5         0.38222222  0.5         0.5         0.55375     0.5
  0.27333333  0.51333333]"
