,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_proba_csd_con_ROIv_scale250,max,bag_of_edges,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.542239010989,0.217812412888,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.935833333333,0.152800250872,"[ 0.45833333  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.33333333  1.          1.          1.
  1.          1.          1.          0.66666667  0.58333333  1.
  0.83333333  1.          1.          1.          0.79166667  1.          1.
  0.83333333  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.625       1.          1.
  1.          1.          1.          1.          1.          0.66666667
  1.          1.          1.        ]"
1,IPCAS_1_proba_csd_con_ROIv_scale250,max,bag_of_edges,standard,SGD,0.730769230769,0.0239226034726,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.727272727273,0.0181818181818,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.63636364  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.656936813187,0.186784672631,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.924166666667,0.160876505432,"[ 0.5         1.          1.          1.          0.91666667  0.83333333
  1.          1.          1.          1.          0.41666667  1.          1.
  1.          1.          1.          1.          0.5         0.5         1.
  0.79166667  1.          1.          1.          0.79166667  1.          1.
  0.91666667  0.875       1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.58333333  1.          1.
  1.          1.          1.          1.          1.          0.58333333
  1.          1.          1.        ]"
2,IPCAS_1_proba_csd_con_ROIv_scale250,max,degrees,standard,LR,0.788461538462,0.0747108065822,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.865454545455,0.128873055612,"[ 0.81818182  1.          1.          1.          0.63636364  0.72727273
  0.72727273  0.90909091  1.          1.          0.81818182  0.90909091
  1.          0.90909091  0.81818182  0.90909091  1.          0.54545455
  0.63636364  0.90909091  0.81818182  0.81818182  1.          0.81818182
  0.63636364  0.90909091  0.90909091  0.72727273  0.90909091  1.
  0.90909091  1.          0.54545455  1.          0.90909091  0.90909091
  0.90909091  1.          0.81818182  1.          0.81818182  1.
  0.81818182  1.          0.81818182  0.81818182  0.72727273  0.81818182
  0.63636364  1.        ]",0.776327838828,0.180444035731,"{'C': 0.65, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.954166666667,0.100778221854,"[ 0.625       1.          1.          1.          0.95833333  0.95833333
  1.          1.          1.          1.          0.66666667  1.          1.
  1.          1.          1.          1.          0.58333333  0.79166667
  1.          0.91666667  1.          1.          0.875       0.79166667
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          0.875
  1.          1.          1.          1.          1.          1.          1.
  0.875       1.          0.79166667  1.        ]"
3,IPCAS_1_proba_csd_con_ROIv_scale250,max,degrees,standard,SGD,0.846153846154,0.0809733979284,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.918181818182,0.112448335244,"[ 0.81818182  1.          1.          1.          1.          0.81818182
  0.90909091  0.81818182  1.          0.90909091  0.81818182  1.          1.
  1.          1.          1.          1.          0.63636364  0.54545455
  0.90909091  0.72727273  0.90909091  1.          1.          0.72727273
  1.          1.          1.          0.90909091  1.          1.
  0.90909091  0.72727273  0.90909091  0.90909091  0.90909091  1.          1.
  0.72727273  1.          1.          0.90909091  1.          0.90909091
  1.          1.          0.81818182  1.          0.72727273  1.        ]",0.782738095238,0.212649878912,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.930833333333,0.134786353579,"[ 0.58333333  1.          1.          1.          0.95833333  0.79166667
  1.          1.          1.          1.          0.75        1.          1.
  1.          1.          1.          1.          0.54166667  0.625       1.
  0.66666667  1.          1.          1.          0.79166667  1.          1.
  1.          1.          1.          1.          1.          0.70833333
  1.          0.91666667  1.          1.          1.          0.5         1.
  0.91666667  1.          0.95833333  1.          1.          1.
  0.91666667  0.95833333  0.95833333  1.        ]"
4,IPCAS_1_proba_csd_con_ROIv_scale250,max,closeness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.578983516484,0.257084225931,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.931666666667,0.165571401181,"[ 0.375       1.          1.          1.          1.          1.          1.
  0.875       1.          1.          0.33333333  1.          1.          1.
  1.          1.          1.          0.66666667  0.5         1.
  0.70833333  1.          1.          1.          0.79166667  1.          1.
  1.          0.91666667  1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.5         1.          1.
  1.          1.          1.          1.          1.          0.91666667
  1.          1.          1.        ]"
5,IPCAS_1_proba_csd_con_ROIv_scale250,max,closeness_centrality,standard,SGD,0.807692307692,0.0153651780864,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.869090909091,0.0893687689269,"[ 0.72727273  0.90909091  0.90909091  0.72727273  0.81818182  0.72727273
  1.          0.63636364  0.90909091  0.81818182  0.72727273  0.90909091
  0.81818182  0.90909091  0.81818182  0.72727273  0.90909091  0.81818182
  0.81818182  0.90909091  0.81818182  0.81818182  0.90909091  0.81818182
  0.72727273  1.          1.          1.          0.90909091  0.90909091
  0.81818182  0.90909091  0.90909091  1.          1.          0.90909091
  1.          0.90909091  0.81818182  0.90909091  0.72727273  0.81818182
  0.90909091  0.90909091  0.90909091  0.90909091  0.81818182  0.90909091
  0.90909091  1.        ]",0.673878205128,0.139005504879,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.934166666667,0.168137262048,"[ 0.45833333  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.41666667  1.          1.          1.
  1.          1.          1.          0.75        0.5         1.          0.625
  1.          1.          1.          0.5         1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.45833333  1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]"
6,IPCAS_1_proba_csd_con_ROIv_scale250,max,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.735119047619,0.152784591249,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.65125,0.159959304721,"[ 0.75        0.52083333  0.6875      0.45833333  0.75        0.89583333
  0.54166667  0.45833333  0.66666667  0.83333333  0.375       0.58333333
  0.54166667  0.75        0.75        0.58333333  0.95833333  0.5
  0.58333333  0.60416667  0.375       0.20833333  0.79166667  0.47916667
  0.625       0.89583333  0.89583333  0.79166667  0.5625      0.79166667
  0.89583333  0.70833333  0.66666667  0.79166667  0.75        0.70833333
  0.83333333  0.5         0.66666667  0.5         0.79166667  0.45833333
  0.60416667  0.66666667  0.875       0.5625      0.5         0.625
  0.54166667  0.70833333]"
7,IPCAS_1_proba_csd_con_ROIv_scale250,max,betweenness_centrality,standard,SGD,0.769230769231,0.149751253117,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.694545454545,0.117494504883,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.54545455
  0.63636364  0.81818182  0.72727273  0.54545455  0.54545455  0.63636364
  0.63636364  0.72727273  0.81818182  0.81818182  0.81818182  0.54545455
  0.72727273  0.72727273  0.45454545  0.45454545  0.72727273  0.54545455
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.81818182  0.81818182  0.90909091  0.81818182  0.72727273  0.90909091
  0.81818182  0.54545455  0.72727273  0.63636364  0.81818182  0.63636364
  0.72727273  0.72727273  0.72727273  0.63636364  0.36363636  0.72727273
  0.45454545  0.72727273]",0.725618131868,0.116257714321,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.631666666667,0.179913173503,"[ 0.5         0.5         0.6875      0.45833333  0.75        0.875
  0.79166667  0.45833333  0.70833333  0.83333333  0.375       0.58333333
  0.45833333  0.75        0.54166667  0.79166667  0.95833333  0.45833333
  0.5         0.5         0.66666667  0.20833333  0.79166667  0.54166667
  0.58333333  0.91666667  0.91666667  0.875       0.375       0.79166667
  0.5         0.79166667  0.83333333  0.70833333  0.75        0.70833333
  0.75        0.45833333  0.33333333  0.45833333  0.91666667  0.54166667
  0.58333333  0.6875      0.58333333  0.70833333  0.45833333  0.66666667
  0.29166667  0.70833333]"
8,IPCAS_1_proba_csd_con_ROIv_scale250,max,eigenvector_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.525297619048,0.288112537984,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.909166666667,0.187396267602,"[ 0.375       1.          1.          1.          0.91666667  1.          1.
  1.          1.          1.          0.33333333  1.          1.          1.
  1.          1.          1.          0.58333333  0.33333333  1.
  0.83333333  0.875       1.          0.79166667  0.79166667  1.          1.
  1.          1.          1.          1.          1.          1.          0.75
  0.75        1.          1.          1.          0.375       1.          1.
  1.          1.          1.          1.          1.          0.75        1.
  1.          1.        ]"
9,IPCAS_1_proba_csd_con_ROIv_scale250,max,eigenvector_centrality,standard,SGD,0.826923076923,0.0949261168742,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.881818181818,0.107948564428,"[ 0.81818182  0.90909091  1.          1.          0.81818182  0.81818182
  1.          0.81818182  0.90909091  0.90909091  0.72727273  0.90909091
  0.90909091  0.81818182  1.          0.90909091  0.90909091  0.63636364
  0.72727273  0.90909091  0.81818182  0.90909091  0.81818182  0.72727273
  0.72727273  0.81818182  0.90909091  1.          0.90909091  1.          1.
  0.90909091  1.          0.63636364  0.72727273  0.81818182  0.90909091
  1.          0.81818182  1.          1.          1.          1.          1.
  0.90909091  1.          0.63636364  1.          0.81818182  0.81818182]",0.679830586081,0.260209131167,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.908333333333,0.192570333472,"[ 0.5         1.          1.          1.          0.875       1.          1.
  1.          1.          0.95833333  0.20833333  1.          0.91666667
  0.95833333  1.          0.91666667  1.          0.54166667  0.25
  0.95833333  0.66666667  0.95833333  1.          0.91666667  0.875       1.
  1.          1.          0.95833333  1.          1.          1.          1.
  0.91666667  0.83333333  1.          1.          1.          0.375       1.
  1.          1.          1.          1.          1.          1.
  0.83333333  1.          1.          1.        ]"
