,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_dti_con_ROIv_scale125,max,bag_of_edges,standard,LR,0.523333333333,0.222011010738,"{'C': 0.45, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.513333333333,0.151694136706,"[ 0.56666667  0.28333333  0.48333333  0.65        0.63333333  0.48333333
  0.45        0.46666667  0.55        0.7         0.55        0.43333333
  0.68333333  0.43333333  0.26666667  0.3         0.43333333  0.35
  0.43333333  0.68333333  0.78333333  0.36666667  0.41666667  0.78333333
  0.5         0.36666667  0.88333333  0.28333333  0.31666667  0.7
  0.46666667  0.43333333  0.53333333  0.55        0.25        0.58333333
  0.7         0.68333333  0.65        0.5         0.43333333  0.56666667
  0.35        0.58333333  0.68333333  0.6         0.4         0.71666667
  0.35        0.4       ]",0.526333333333,0.225403865934,"{'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.526513333333,0.233663393822,"[ 0.65125     0.88        0.37777778  0.92        0.43666667  0.57        0.27125
  0.4025      0.53125     0.7275      0.788       0.1975      0.88125
  0.48125     0.108       0.032       0.49125     0.48        0.34        0.4925
  0.79875     0.32222222  0.37555556  0.904       0.80333333  0.18444444
  0.94666667  0.41125     0.34222222  0.718       0.39222222  0.61875
  0.41444444  0.57375     0.14125     0.578       0.72875     0.80111111
  0.595       0.47888889  0.36        0.67333333  0.2925      0.60888889
  0.986       0.58444444  0.3875      0.64444444  0.24555556  0.35444444]"
1,HNU_1_deter_dti_con_ROIv_scale125,max,bag_of_edges,standard,SGD,0.536666666667,0.112743563502,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.501333333333,0.129350514323,"[ 0.55        0.25        0.36666667  0.46666667  0.5         0.56666667
  0.41666667  0.68333333  0.68333333  0.6         0.55        0.35
  0.43333333  0.58333333  0.3         0.28333333  0.4         0.38333333
  0.5         0.63333333  0.6         0.38333333  0.63333333  0.7
  0.33333333  0.55        0.56666667  0.26666667  0.6         0.53333333
  0.43333333  0.33333333  0.65        0.61666667  0.53333333  0.71666667
  0.58333333  0.53333333  0.46666667  0.41666667  0.41666667  0.58333333
  0.43333333  0.76666667  0.61666667  0.33333333  0.6         0.56666667
  0.3         0.5       ]",0.585416666667,0.130648666561,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.493936666667,0.172660272926,"[ 0.69875     0.533       0.37444444  0.5         0.34888889  0.54375
  0.58125     0.54375     0.61375     0.67        0.2         0.3075      0.57
  0.585       0.258       0.11        0.581875    0.74        0.52166667
  0.71875     0.7125      0.32666667  0.51222222  0.866       0.20555556
  0.48666667  0.59444444  0.30625     0.51722222  0.388       0.31333333
  0.539375    0.78222222  0.635625    0.4175      0.555       0.585
  0.54888889  0.34        0.28        0.326875    0.57555556  0.29625
  0.78833333  0.251       0.34444444  0.60375     0.65444444  0.34444444
  0.59888889]"
2,HNU_1_deter_dti_con_ROIv_scale125,max,degrees,standard,LR,0.513333333333,0.146969384567,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.500666666667,0.145943672544,"[ 0.38333333  0.36666667  0.63333333  0.28333333  0.56666667  0.5
  0.61666667  0.76666667  0.51666667  0.73333333  0.6         0.33333333
  0.4         0.56666667  0.2         0.6         0.3         0.53333333
  0.48333333  0.6         0.41666667  0.7         0.6         0.31666667
  0.56666667  0.25        0.58333333  0.38333333  0.45        0.56666667
  0.56666667  0.35        0.58333333  0.4         0.28333333  0.58333333
  0.55        0.58333333  0.45        0.63333333  0.53333333  0.51666667
  0.75        0.61666667  0.78333333  0.45        0.35        0.65        0.2
  0.38333333]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
3,HNU_1_deter_dti_con_ROIv_scale125,max,degrees,standard,SGD,0.526666666667,0.128495568449,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.476666666667,0.1456403485,"[ 0.53333333  0.35        0.55        0.21666667  0.53333333  0.43333333
  0.56666667  0.76666667  0.53333333  0.75        0.51666667  0.33333333
  0.53333333  0.61666667  0.41666667  0.63333333  0.33333333  0.53333333
  0.31666667  0.65        0.43333333  0.65        0.51666667  0.51666667
  0.61666667  0.21666667  0.66666667  0.33333333  0.35        0.68333333
  0.58333333  0.35        0.61666667  0.26666667  0.41666667  0.38333333
  0.5         0.55        0.68333333  0.56666667  0.45        0.4         0.55
  0.35        0.6         0.4         0.36666667  0.28333333  0.2
  0.21666667]",0.506694444444,0.19304029516,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.526376666667,0.213333116042,"[ 0.6725      0.752       0.47888889  0.49875     0.60888889  0.8725
  0.67875     0.8025      0.69125     0.82625     0.766       0.3775      0.495
  0.57        0.37        0.49        0.12875     0.552       0.25333333
  0.52        0.70375     0.69222222  0.64222222  0.878       0.58
  0.16777778  0.74        0.5125      0.32555556  0.736       0.64444444
  0.46125     0.62111111  0.1325      0.12625     0.162       0.94125
  0.64666667  0.4325      0.52666667  0.4325      0.28        0.65        0.39
  0.732       0.52777778  0.47125     0.33777778  0.17222222  0.24777778]"
4,HNU_1_deter_dti_con_ROIv_scale125,max,closeness_centrality,standard,LR,0.586666666667,0.189560896108,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.567,0.149758694795,"[ 0.35        0.53333333  0.65        0.45        0.58333333  0.68333333
  0.65        0.75        0.8         0.65        0.7         0.66666667
  0.75        0.58333333  0.16666667  0.7         0.31666667  0.4
  0.58333333  0.4         0.53333333  0.73333333  0.45        0.58333333
  0.63333333  0.36666667  0.61666667  0.61666667  0.45        0.76666667
  0.45        0.38333333  0.83333333  0.5         0.35        0.8
  0.61666667  0.66666667  0.43333333  0.51666667  0.5         0.6
  0.53333333  0.7         0.6         0.71666667  0.33333333  0.76666667
  0.38333333  0.55      ]",0.658444444444,0.153074923155,"{'C': 0.8500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5875775,0.229403416144,"[ 0.55875     0.642       0.56277778  0.469375    0.60111111  0.81        0.65875
  0.8375      0.69125     0.945       0.976       0.67875     0.77375
  0.315       0.074       0.618       0.095       0.352       0.54        0.58875
  0.911875    0.76555556  0.84333333  0.99        0.58444444  0.21
  0.69555556  0.68375     0.47111111  0.478       0.38888889  0.2375
  0.88666667  0.42375     0.2075      0.86        0.745625    0.75611111
  0.2         0.52666667  0.36        0.56        0.64875     0.61333333
  0.612       0.76555556  0.58625     0.72222222  0.19555556  0.66111111]"
5,HNU_1_deter_dti_con_ROIv_scale125,max,closeness_centrality,standard,SGD,0.62,0.198718114144,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.575333333333,0.152214760563,"[ 0.36666667  0.55        0.65        0.46666667  0.7         0.55        0.7
  0.8         0.81666667  0.66666667  0.6         0.81666667  0.71666667
  0.5         0.23333333  0.68333333  0.26666667  0.4         0.51666667
  0.51666667  0.65        0.78333333  0.6         0.46666667  0.65
  0.33333333  0.68333333  0.56666667  0.48333333  0.75        0.48333333
  0.3         0.85        0.6         0.43333333  0.8         0.65
  0.61666667  0.41666667  0.58333333  0.51666667  0.63333333  0.53333333
  0.65        0.5         0.73333333  0.36666667  0.7         0.33333333
  0.58333333]",0.718416666667,0.18142192995,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.669044166667,0.207739986215,"[ 0.62875     0.92        0.61055556  0.536875    0.80777778  0.84125
  0.73125     0.9525      0.92625     0.905       0.992       0.7975
  0.9025      0.515       0.322       0.804       0.1675      0.394
  0.52555556  0.44125     0.813125    0.74555556  0.78555556  0.994
  0.72777778  0.29888889  0.73555556  0.7325      0.48444444  0.778
  0.55444444  0.3875      0.88        0.56125     0.38        0.932
  0.818125    0.715       0.43375     0.61888889  0.4525      0.74888889
  0.615       0.64888889  0.856       0.90222222  0.4575      0.70111111
  0.26555556  0.70666667]"
6,HNU_1_deter_dti_con_ROIv_scale125,max,betweenness_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
7,HNU_1_deter_dti_con_ROIv_scale125,max,betweenness_centrality,standard,SGD,0.556666666667,0.125874717257,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.509666666667,0.154779053995,"[ 0.38333333  0.26666667  0.7         0.3         0.48333333  0.46666667
  0.55        0.43333333  0.66666667  0.46666667  0.31666667  0.75        0.55
  0.33333333  0.56666667  0.8         0.26666667  0.58333333  0.68333333
  0.75        0.81666667  0.48333333  0.41666667  0.48333333  0.5
  0.28333333  0.5         0.63333333  0.5         0.81666667  0.45
  0.61666667  0.38333333  0.43333333  0.38333333  0.36666667  0.25        0.5
  0.46666667  0.43333333  0.46666667  0.58333333  0.33333333  0.51666667
  0.83333333  0.65        0.35        0.51666667  0.7         0.5       ]",0.595861111111,0.156968542889,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.548808333333,0.167752396834,"[ 0.66375     0.404       0.72888889  0.5825      0.43666667  0.835
  0.36125     0.58125     0.67375     0.58375     0.438       0.47375
  0.5425      0.6175      0.652       0.274       0.26125     0.196
  0.42777778  0.7425      0.92        0.26888889  0.39333333  0.774
  0.57222222  0.22333333  0.51888889  0.58375     0.64666667  0.492
  0.52222222  0.77125     0.63333333  0.69875     0.74        0.208       0.565
  0.64888889  0.63        0.45111111  0.42625     0.71333333  0.565
  0.57888889  0.642       0.69111111  0.575       0.64333333  0.28555556
  0.58222222]"
8,HNU_1_deter_dti_con_ROIv_scale125,max,eigenvector_centrality,standard,LR,0.706666666667,0.133583099397,"{'C': 0.8500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.599333333333,0.122835029387,"[ 0.63333333  0.51666667  0.66666667  0.46666667  0.58333333  0.41666667
  0.66666667  0.61666667  0.61666667  0.56666667  0.7         0.5         0.6
  0.7         0.41666667  0.41666667  0.26666667  0.6         0.65        0.75
  0.63333333  0.58333333  0.65        0.8         0.7         0.56666667
  0.73333333  0.63333333  0.55        0.65        0.51666667  0.81666667
  0.65        0.6         0.56666667  0.91666667  0.83333333  0.56666667
  0.71666667  0.6         0.58333333  0.48333333  0.58333333  0.56666667
  0.68333333  0.55        0.56666667  0.46666667  0.28333333  0.56666667]",0.717305555556,0.154597835498,"{'C': 0.6000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.641697777778,0.202551524053,"[ 0.67375     0.822       0.71333333  0.53875     0.60777778  0.44625
  0.7625      0.7125      0.385       0.77625     0.87        0.47125
  0.6825      0.855       0.25        0.004       0.385       0.73
  0.91888889  0.72625     0.67125     0.61888889  0.71111111  1.
  0.87444444  0.64777778  0.67        0.75        0.56555556  0.614
  0.53777778  0.82        0.72333333  0.795       0.43875     0.99        0.935
  0.48666667  0.66875     0.65777778  0.60375     0.37777778  0.61375
  0.52444444  0.736       0.75888889  0.74875     0.36888889  0.13222222
  0.71333333]"
9,HNU_1_deter_dti_con_ROIv_scale125,max,eigenvector_centrality,standard,SGD,0.703333333333,0.0812403840464,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.606,0.152051160981,"[ 0.6         0.36666667  0.76666667  0.65        0.81666667  0.45
  0.58333333  0.68333333  0.65        0.83333333  0.46666667  0.66666667
  0.63333333  0.75        0.26666667  0.48333333  0.28333333  0.41666667
  0.65        0.76666667  0.61666667  0.66666667  0.63333333  0.7
  0.73333333  0.65        0.78333333  0.76666667  0.78333333  0.31666667
  0.48333333  0.76666667  0.76666667  0.68333333  0.38333333  0.65        0.8
  0.63333333  0.65        0.73333333  0.63333333  0.48333333  0.51666667
  0.5         0.56666667  0.56666667  0.55        0.7         0.2         0.6       ]",0.706388888889,0.155213587408,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.671846666667,0.192177569978,"[ 0.78625     0.72        0.76        0.5725      0.76777778  0.5125
  0.61625     0.83375     0.5875      0.78625     0.876       0.465       0.7225
  0.87625     0.5         0.616       0.42875     0.51        0.87777778
  0.5975      0.61        0.73444444  0.71888889  1.          0.72444444
  0.74111111  0.93666667  0.935       0.70444444  0.33        0.53666667
  0.81625     0.81888889  0.97875     0.31375     0.918       0.97125
  0.43888889  0.62125     0.78555556  0.73125     0.41        0.535
  0.45333333  0.864       0.53111111  0.6775      0.69777778  0.08888889
  0.55666667]"
