,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_csa_con_aparc150+subcort,max,bag_of_edges,standard,LR,0.58,0.129271462864,"{'C': 0.75, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.461,0.139825685131,"[ 0.48333333  0.55        0.33333333  0.31666667  0.48333333  0.2         0.55
  0.63333333  0.58333333  0.6         0.58333333  0.31666667  0.53333333
  0.43333333  0.51666667  0.4         0.18333333  0.5         0.31666667
  0.5         0.26666667  0.43333333  0.71666667  0.6         0.6
  0.33333333  0.45        0.28333333  0.36666667  0.46666667  0.7
  0.53333333  0.43333333  0.7         0.35        0.2         0.5         0.45
  0.65        0.48333333  0.76666667  0.53333333  0.23333333  0.26666667
  0.45        0.46666667  0.48333333  0.53333333  0.38333333  0.4       ]",0.535138888889,0.117306841496,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.449113333333,0.229119755255,"[ 0.75875     0.916       0.19777778  0.56375     0.41333333  0.20625
  0.60125     0.6375      0.36875     0.5625      0.778       0.19625
  0.60875     0.44125     0.676       0.22        0.11875     0.402       0.29
  0.2475      0.42875     0.33666667  0.81888889  0.814       0.58
  0.19666667  0.46666667  0.225       0.29333333  0.154       0.70888889
  0.43375     0.12222222  0.785       0.42375     0.03        0.37
  0.32777778  0.59        0.37        0.80125     0.49555556  0.175
  0.30888889  0.924       0.51        0.53125     0.51222222  0.10444444
  0.41333333]"
1,HNU_1_deter_csa_con_aparc150+subcort,max,bag_of_edges,standard,SGD,0.52,0.100774776386,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.442333333333,0.148256909151,"[ 0.48333333  0.51666667  0.31666667  0.4         0.43333333  0.28333333
  0.48333333  0.73333333  0.45        0.56666667  0.68333333  0.31666667
  0.48333333  0.26666667  0.51666667  0.4         0.21666667  0.53333333
  0.5         0.4         0.21666667  0.53333333  0.58333333  0.4
  0.58333333  0.33333333  0.58333333  0.3         0.25        0.43333333
  0.68333333  0.31666667  0.5         0.7         0.36666667  0.31666667
  0.55        0.4         0.55        0.43333333  0.8         0.46666667
  0.3         0.31666667  0.4         0.53333333  0.33333333  0.56666667
  0.01666667  0.36666667]",0.544305555556,0.115835331717,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.527298333333,0.162238826567,"[ 0.93        0.7         0.47333333  0.57875     0.41166667  0.415       0.29
  0.57        0.36875     0.490625    0.49        0.4575      0.42375
  0.71125     0.409       0.603       0.37875     0.823       0.65333333
  0.4025      0.589375    0.49666667  0.71444444  0.858       0.41833333
  0.48111111  0.79333333  0.35875     0.61555556  0.31        0.63888889
  0.70875     0.64222222  0.765       0.54125     0.618       0.301875
  0.59055556  0.46375     0.50055556  0.31875     0.57        0.3
  0.43555556  0.531       0.46166667  0.496875    0.28        0.73888889
  0.24555556]"
2,HNU_1_deter_csa_con_aparc150+subcort,max,degrees,standard,LR,0.533333333333,0.110050493461,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.536333333333,0.126081543279,"[ 0.5         0.61666667  0.45        0.41666667  0.55        0.4
  0.61666667  0.7         0.71666667  0.46666667  0.61666667  0.4
  0.66666667  0.58333333  0.45        0.46666667  0.36666667  0.53333333
  0.8         0.63333333  0.36666667  0.58333333  0.63333333  0.63333333
  0.65        0.23333333  0.75        0.38333333  0.53333333  0.56666667
  0.68333333  0.41666667  0.5         0.56666667  0.38333333  0.36666667
  0.65        0.4         0.68333333  0.6         0.71666667  0.53333333
  0.41666667  0.61666667  0.45        0.53333333  0.48333333  0.73333333
  0.4         0.4       ]",0.530305555556,0.134053564013,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.544205,0.188355555874,"[ 0.73        0.91        0.42333333  0.6925      0.67111111  0.2525
  0.79875     0.73625     0.3725      0.41625     0.712       0.36125     0.7
  0.6825      0.41        0.494       0.2675      0.576       0.61222222
  0.3575      0.59        0.67111111  0.74666667  0.718       0.52444444
  0.19222222  0.87888889  0.2425      0.62777778  0.628       0.69777778
  0.37375     0.40444444  0.5875      0.1675      0.246       0.60125
  0.53333333  0.7225      0.71777778  0.81        0.56111111  0.3075
  0.68888889  0.52        0.47555556  0.52625     0.65555556  0.31444444
  0.30333333]"
3,HNU_1_deter_csa_con_aparc150+subcort,max,degrees,standard,SGD,0.523333333333,0.169509095135,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.506666666667,0.106562449088,"[ 0.5         0.68333333  0.41666667  0.35        0.5         0.51666667
  0.63333333  0.5         0.55        0.38333333  0.53333333  0.4
  0.61666667  0.48333333  0.45        0.4         0.31666667  0.48333333
  0.53333333  0.51666667  0.53333333  0.66666667  0.71666667  0.38333333
  0.46666667  0.33333333  0.61666667  0.33333333  0.51666667  0.63333333
  0.48333333  0.43333333  0.5         0.7         0.45        0.35
  0.56666667  0.33333333  0.68333333  0.66666667  0.66666667  0.58333333
  0.53333333  0.48333333  0.46666667  0.5         0.51666667  0.55
  0.53333333  0.36666667]",0.54875,0.165190219571,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.530869444444,0.220031303206,"[ 0.82375     0.938       0.18222222  0.5375      0.72333333  0.18875
  0.7875      0.5225      0.2625      0.56125     0.802       0.2925
  0.63375     0.4525      0.552       0.768       0.175       0.404
  0.50333333  0.2575      0.64        0.68888889  0.73444444  0.876
  0.57222222  0.34888889  0.77        0.31875     0.68888889  0.626
  0.77666667  0.17125     0.39111111  0.97625     0.22875     0.26        0.5925
  0.44        0.7025      0.47555556  0.90125     0.63111111  0.405
  0.39777778  0.464       0.39222222  0.61        0.52        0.19222222
  0.38333333]"
4,HNU_1_deter_csa_con_aparc150+subcort,max,closeness_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
5,HNU_1_deter_csa_con_aparc150+subcort,max,closeness_centrality,standard,SGD,0.49,0.0833999733546,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.399,0.124606491716,"[ 0.33333333  0.53333333  0.51666667  0.41666667  0.63333333  0.2
  0.48333333  0.51666667  0.35        0.3         0.23333333  0.43333333
  0.35        0.41666667  0.25        0.25        0.31666667  0.36666667
  0.48333333  0.4         0.3         0.56666667  0.46666667  0.33333333
  0.48333333  0.18333333  0.53333333  0.15        0.41666667  0.38333333
  0.71666667  0.53333333  0.53333333  0.33333333  0.3         0.35
  0.31666667  0.4         0.65        0.43333333  0.43333333  0.43333333
  0.43333333  0.25        0.26666667  0.56666667  0.45        0.2         0.4
  0.35      ]",0.523138888889,0.0871225368074,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.506355555556,0.172784143327,"[ 0.89625     0.88        0.44222222  0.32        0.54        0.68125
  0.6825      0.5         0.36        0.325       0.27        0.535       0.53
  0.2775      0.5         0.936       0.43875     0.4         0.73444444
  0.67        0.3575      0.59555556  0.55111111  0.5         0.69444444
  0.26333333  0.47333333  0.19875     0.35111111  0.5         0.5         0.3275
  0.38888889  0.36375     0.57        0.274       0.7         0.25777778
  0.39625     0.71666667  0.5475      0.63        0.66625     0.61        0.5
  0.52777778  0.53125     0.67833333  0.31222222  0.41555556]"
6,HNU_1_deter_csa_con_aparc150+subcort,max,betweenness_centrality,standard,LR,0.613333333333,0.127540843131,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.633666666667,0.132475993632,"[ 0.48333333  0.55        0.65        0.86666667  0.5         0.76666667
  0.58333333  0.7         0.81666667  0.65        0.81666667  0.63333333
  0.68333333  0.8         0.7         0.6         0.45        0.65
  0.73333333  0.53333333  0.85        0.78333333  0.46666667  0.75
  0.71666667  0.38333333  0.63333333  0.51666667  0.75        0.65
  0.41666667  0.6         0.65        0.68333333  0.68333333  0.36666667
  0.83333333  0.68333333  0.51666667  0.48333333  0.45        0.58333333
  0.58333333  0.65        0.83333333  0.5         0.53333333  0.83333333
  0.45        0.68333333]",0.635833333333,0.177574254161,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.635186666667,0.209482468239,"[ 0.653125    0.664       0.75444444  0.938125    0.45333333  0.83125
  0.6025      0.7625      0.89875     0.675       0.766       0.6075      0.72
  0.86        0.718       0.26        0.34125     0.25        0.92        0.4875
  0.93375     0.85777778  0.52555556  0.628       0.84111111  0.38888889
  0.59777778  0.38125     0.85888889  0.296       0.33888889  0.7075
  0.73555556  0.74375     0.74375     0.09        0.86        0.69055556
  0.4775      0.51        0.47        0.59222222  0.59125     0.70555556
  0.944       0.47888889  0.59875     0.93222222  0.31555556  0.76111111]"
7,HNU_1_deter_csa_con_aparc150+subcort,max,betweenness_centrality,standard,SGD,0.643333333333,0.163842743033,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.536333333333,0.135592936558,"[ 0.4         0.28333333  0.6         0.68333333  0.46666667  0.65
  0.51666667  0.65        0.61666667  0.58333333  0.36666667  0.5
  0.36666667  0.58333333  0.35        0.71666667  0.3         0.66666667
  0.78333333  0.45        0.56666667  0.73333333  0.41666667  0.38333333
  0.53333333  0.41666667  0.51666667  0.38333333  0.61666667  0.5         0.5
  0.7         0.45        0.7         0.46666667  0.8         0.71666667
  0.53333333  0.31666667  0.58333333  0.46666667  0.56666667  0.56666667
  0.61666667  0.76666667  0.36666667  0.5         0.73333333  0.4
  0.46666667]",0.636083333333,0.18677614184,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.617686111111,0.190702594408,"[ 0.6625      0.638       0.74333333  0.89375     0.42444444  0.82        0.60125
  0.7225      0.83        0.67125     0.674       0.56125     0.72125
  0.82125     0.646       0.29        0.34875     0.286       0.95111111
  0.4075      0.93375     0.86666667  0.41444444  0.592       0.78222222
  0.35777778  0.55555556  0.37375     0.82777778  0.334       0.32333333
  0.61875     0.63666667  0.7525      0.67625     0.39        0.82875
  0.64444444  0.47        0.51777778  0.44        0.59666667  0.5875
  0.69333333  0.94        0.46666667  0.58625     0.9         0.31111111
  0.75222222]"
8,HNU_1_deter_csa_con_aparc150+subcort,max,eigenvector_centrality,standard,LR,0.626666666667,0.0501109879279,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.553,0.134523438685,"[ 0.43333333  0.65        0.55        0.35        0.68333333  0.38333333
  0.66666667  0.5         0.76666667  0.6         0.51666667  0.48333333
  0.51666667  0.65        0.58333333  0.46666667  0.26666667  0.5         0.6
  0.55        0.55        0.36666667  0.76666667  0.61666667  0.65
  0.36666667  0.73333333  0.43333333  0.43333333  0.53333333  0.75
  0.61666667  0.6         0.83333333  0.55        0.31666667  0.66666667
  0.46666667  0.78333333  0.65        0.76666667  0.53333333  0.56666667
  0.56666667  0.6         0.58333333  0.51666667  0.43333333  0.26666667
  0.41666667]",0.627,0.0745915627572,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.604738888889,0.197994402901,"[ 0.59125     0.992       0.58333333  0.3525      0.76111111  0.25875
  0.69375     0.4875      0.5575      0.5575      0.97        0.445       0.5625
  0.7725      0.578       0.97        0.30625     0.252       0.66333333
  0.52125     0.64875     0.51666667  0.85777778  0.71        0.67666667
  0.42444444  0.83333333  0.43125     0.48222222  0.554       0.85333333
  0.68        0.56        0.90625     0.5975      0.31        0.7025
  0.42555556  0.82375     0.78777778  0.98625     0.61333333  0.4975
  0.48777778  0.814       0.59222222  0.5625      0.39555556  0.25333333
  0.37666667]"
9,HNU_1_deter_csa_con_aparc150+subcort,max,eigenvector_centrality,standard,SGD,0.63,0.0590668171556,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.506666666667,0.145869043247,"[ 0.45        0.51666667  0.6         0.33333333  0.83333333  0.43333333
  0.58333333  0.31666667  0.4         0.23333333  0.33333333  0.46666667
  0.53333333  0.66666667  0.58333333  0.43333333  0.4         0.45        0.35
  0.5         0.4         0.41666667  0.76666667  0.5         0.63333333
  0.46666667  0.8         0.51666667  0.46666667  0.65        0.81666667
  0.5         0.45        0.66666667  0.45        0.28333333  0.56666667
  0.4         0.7         0.61666667  0.68333333  0.71666667  0.36666667
  0.51666667  0.31666667  0.5         0.65        0.38333333  0.3
  0.41666667]",0.68675,0.0689210050585,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.586557777778,0.218909130187,"[ 0.52625     0.95        0.66333333  0.48625     0.91111111  0.24375     0.65
  0.37125     0.615       0.25625     0.956       0.46125     0.5575      0.465
  0.734       0.678       0.355       0.278       0.45111111  0.59375
  0.56875     0.60333333  0.83444444  0.716       0.63        0.38888889
  0.77111111  0.275       0.72666667  0.698       0.80111111  0.67875
  0.46444444  0.9825      0.58875     0.258       0.94375     0.49111111
  0.89875     0.94333333  0.98        0.41777778  0.2625      0.45111111
  0.676       0.35222222  0.605       0.37666667  0.44222222  0.29888889]"
