,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_deter_dti_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,LR,1.0,0.0,"{'penalty': 'l2', 'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'random_state': 0, 'n_jobs': -1, 'C': 0.01}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'penalty': 'l2', 'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'random_state': 0, 'n_jobs': -1, 'C': 0.01}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
1,BNU_1_deter_dti_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,SGD,1.0,0.0,"{'shuffle': True, 'verbose': 0, 'penalty': 'elasticnet', 'alpha': 0.001, 'class_weight': None, 'l1_ratio': 0, 'power_t': 0.5, 'fit_intercept': True, 'epsilon': 0.1, 'learning_rate': 'optimal', 'eta0': 0.0, 'loss': 'hinge', 'n_iter': 50, 'n_jobs': -1, 'random_state': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'shuffle': True, 'verbose': 0, 'penalty': 'elasticnet', 'alpha': 0.001, 'class_weight': None, 'l1_ratio': 0, 'power_t': 0.5, 'fit_intercept': True, 'epsilon': 0.1, 'learning_rate': 'optimal', 'eta0': 0.0, 'loss': 'hinge', 'n_iter': 50, 'n_jobs': -1, 'random_state': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
2,BNU_1_deter_dti_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,LR,1.0,0.0,"{'penalty': 'l2', 'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'random_state': 0, 'n_jobs': -1, 'C': 0.01}",0.994,0.0162480768093,"[ 1.    1.    1.    0.95  1.    1.    0.95  1.    1.    1.    1.    1.    1.
  1.    0.95  1.    1.    1.    1.    1.    1.    0.95  1.    1.    1.    1.
  0.95  1.    0.95  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.  ]",1.0,0.0,"{'penalty': 'l2', 'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'random_state': 0, 'n_jobs': -1, 'C': 0.01}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
3,BNU_1_deter_dti_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,SGD,1.0,0.0,"{'shuffle': True, 'verbose': 0, 'penalty': 'elasticnet', 'alpha': 0.001, 'class_weight': None, 'l1_ratio': 0, 'power_t': 0.5, 'fit_intercept': True, 'epsilon': 0.1, 'learning_rate': 'optimal', 'eta0': 0.0, 'loss': 'hinge', 'n_iter': 50, 'n_jobs': -1, 'random_state': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'shuffle': True, 'verbose': 0, 'penalty': 'elasticnet', 'alpha': 0.001, 'class_weight': None, 'l1_ratio': 0, 'power_t': 0.5, 'fit_intercept': True, 'epsilon': 0.1, 'learning_rate': 'optimal', 'eta0': 0.0, 'loss': 'hinge', 'n_iter': 50, 'n_jobs': -1, 'random_state': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
4,BNU_1_deter_dti_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,LR,0.84693877551,0.0642127866227,"{'penalty': 'l2', 'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'random_state': 0, 'n_jobs': -1, 'C': 0.01}",0.843,0.0663400331625,"[ 0.95  0.75  0.85  0.9   0.9   0.85  0.85  0.8   0.75  0.7   0.85  0.8
  0.8   0.8   1.    0.8   0.8   0.85  0.8   0.8   0.85  0.9   0.7   0.8
  0.9   0.8   0.95  0.8   0.85  0.85  0.85  0.85  0.8   0.95  0.85  0.9
  0.85  0.85  0.85  0.8   0.9   0.8   0.95  0.85  0.95  0.7   0.95  0.85
  0.8   0.85]",0.944897959184,0.0392104736391,"{'penalty': 'l2', 'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'random_state': 0, 'n_jobs': -1, 'C': 0.01}",0.9558,0.0458296847033,"[ 0.9   0.97  0.98  0.99  0.93  0.89  1.    0.88  1.    0.91  0.88  0.97
  1.    0.98  1.    1.    1.    0.89  1.    0.95  0.99  0.9   0.96  0.92
  0.98  0.91  0.99  1.    0.91  1.    0.98  0.9   0.97  1.    0.98  1.
  0.99  0.97  0.88  0.98  0.93  1.    0.99  0.93  0.98  0.9   0.9   0.83
  1.    1.  ]"
5,BNU_1_deter_dti_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,SGD,0.897959183673,0.0662086865204,"{'shuffle': True, 'verbose': 0, 'penalty': 'elasticnet', 'alpha': 0.5, 'class_weight': None, 'l1_ratio': 0, 'power_t': 0.5, 'fit_intercept': True, 'epsilon': 0.1, 'learning_rate': 'optimal', 'eta0': 0.0, 'loss': 'log', 'n_iter': 50, 'n_jobs': -1, 'random_state': 0}",0.824,0.0813879597975,"[ 0.95  0.8   0.75  0.9   0.9   0.8   0.8   0.8   0.75  0.7   0.85  0.8
  0.85  0.8   0.8   0.8   0.8   0.55  0.6   0.8   0.9   0.9   0.7   0.8
  0.9   0.8   0.95  0.8   0.85  0.9   0.85  0.8   0.85  0.95  0.95  0.8
  0.9   0.85  0.85  0.85  0.75  0.8   0.85  0.85  0.9   0.7   0.95  0.8
  0.8   0.85]",0.94693877551,0.0359000674883,"{'shuffle': True, 'verbose': 0, 'penalty': 'elasticnet', 'alpha': 0.5, 'class_weight': None, 'l1_ratio': 0, 'power_t': 0.5, 'fit_intercept': True, 'epsilon': 0.1, 'learning_rate': 'optimal', 'eta0': 0.0, 'loss': 'hinge', 'n_iter': 50, 'n_jobs': -1, 'random_state': 0}",0.9556,0.045789081668,"[ 0.9   0.97  0.98  1.    0.92  0.9   1.    0.88  1.    0.91  0.88  0.97
  1.    0.97  1.    1.    1.    0.89  1.    0.94  0.99  0.9   0.96  0.91
  0.98  0.9   0.99  1.    0.91  1.    0.98  0.9   0.96  1.    0.98  1.
  0.99  0.97  0.92  0.98  0.93  1.    0.99  0.93  0.98  0.9   0.9   0.82
  1.    1.  ]"
6,BNU_1_deter_dti_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.5,0.0,"{'penalty': 'l1', 'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'random_state': 0, 'n_jobs': -1, 'C': 0.01}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]",0.5,0.0,"{'penalty': 'l1', 'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'random_state': 0, 'n_jobs': -1, 'C': 0.01}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
7,BNU_1_deter_dti_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,SGD,0.5,0.0,"{'shuffle': True, 'verbose': 0, 'penalty': 'elasticnet', 'alpha': 0.1, 'class_weight': None, 'l1_ratio': 0.6, 'power_t': 0.5, 'fit_intercept': True, 'epsilon': 0.1, 'learning_rate': 'optimal', 'eta0': 0.0, 'loss': 'log', 'n_iter': 50, 'n_jobs': -1, 'random_state': 0}",0.516,0.0783836717691,"[ 0.9  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.9  0.5  0.5  0.5]",0.5,0.0,"{'shuffle': True, 'verbose': 0, 'penalty': 'elasticnet', 'alpha': 0.1, 'class_weight': None, 'l1_ratio': 0.6, 'power_t': 0.5, 'fit_intercept': True, 'epsilon': 0.1, 'learning_rate': 'optimal', 'eta0': 0.0, 'loss': 'log', 'n_iter': 50, 'n_jobs': -1, 'random_state': 0}",0.5162,0.0793634676662,"[ 0.905  0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5
  0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5
  0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5
  0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5
  0.5    0.5    0.905  0.5    0.5    0.5  ]"
8,BNU_1_deter_dti_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,LR,0.969387755102,0.0254988636925,"{'penalty': 'l1', 'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'random_state': 0, 'n_jobs': -1, 'C': 0.05}",0.96,0.0374165738677,"[ 0.95  0.95  0.95  1.    0.95  1.    1.    0.95  0.9   0.95  0.95  0.9
  0.95  1.    1.    1.    0.95  0.95  0.95  0.95  1.    1.    0.85  0.95
  1.    0.9   0.95  0.9   0.95  0.95  0.95  0.95  0.85  0.95  1.    1.    1.
  0.95  1.    0.95  0.95  0.95  1.    0.95  1.    1.    0.95  1.    0.95
  1.  ]",1.0,0.0,"{'penalty': 'l1', 'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'random_state': 0, 'n_jobs': -1, 'C': 0.05}",0.9988,0.00430813184571,"[ 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.99
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.98  1.    1.
  0.99  1.    1.    1.    1.    1.    1.    0.98  1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.  ]"
9,BNU_1_deter_dti_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,0.979591836735,0.0403028931799,"{'shuffle': True, 'verbose': 0, 'penalty': 'elasticnet', 'alpha': 0.001, 'class_weight': None, 'l1_ratio': 0, 'power_t': 0.5, 'fit_intercept': True, 'epsilon': 0.1, 'learning_rate': 'optimal', 'eta0': 0.0, 'loss': 'modified_huber', 'n_iter': 50, 'n_jobs': -1, 'random_state': 0}",0.964,0.0316859590355,"[ 0.95  0.95  0.95  0.95  0.95  0.95  0.95  0.95  0.95  1.    0.95  0.95
  1.    1.    1.    1.    0.9   0.95  0.95  0.95  1.    0.95  0.95  1.    1.
  0.95  1.    0.9   0.95  0.95  0.9   1.    0.9   0.95  1.    1.    0.95
  1.    1.    0.9   0.95  0.95  0.95  0.95  1.    1.    1.    1.    0.95
  1.  ]",1.0,0.0,"{'shuffle': True, 'verbose': 0, 'penalty': 'elasticnet', 'alpha': 0.001, 'class_weight': None, 'l1_ratio': 0, 'power_t': 0.5, 'fit_intercept': True, 'epsilon': 0.1, 'learning_rate': 'optimal', 'eta0': 0.0, 'loss': 'hinge', 'n_iter': 50, 'n_jobs': -1, 'random_state': 0}",0.9984,0.00463033476112,"[ 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.99
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.98  1.    1.
  0.99  1.    1.    1.    1.    0.99  1.    0.98  1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    0.99  1.    1.    1.    1.    1.    1.  ]"
